Stadium,Capacity,City,Country,Tenant,Opening
Nou Mestalla,75000.0,Valencia,Spain,Valencia CF,2014.0
Gazprom Arena,69501.0,Saint Petersburg,Russia,FC Zenit Saint Petersburg,2015.0
Baku Olympic Stadium,68000.0,Baku,Azerbaijan,Azerbaijan national football team,2015.0
Estadio La Peineta,67500.0,Madrid,Spain,Club Atlético de Madrid,2015.0
Ferenc Puskás Stadion,65000.0,Budapest,Hungary,Hungary national football team,2016.0
Stade des Lumières,61556.0,Lyon,France,Olympique Lyonnais,2014.0
Northumberland Development Project,56250.0,London,England,Tottenham Hotspur,2016.0
Fisht Olympic Stadium,47659.0,Sochi,Russia,2014 Winter Olympics 2014 Winter Paralympics,2014.0
Arena Baltika,45015.0,Kaliningrad,Russia,FC Baltika Kaliningrad,2017.0
Yubileyniy Stadium,45015.0,Saransk,Russia,FC Mordovia Saransk,2015.0
VTB Arena,45000.0,Moscow,Russia,FC Dynamo Moscow,2016.0
Samara Stadium,44918.0,Samara,Russia,FC Krylia Sovetov Samara,2017.0
Arena Baltika,44899.0,Kaliningrad,Russia,FC Volga Nizhny Novgorod,2017.0
Otkrytie Arena,44000.0,Moscow,Russia,FC Spartak Moscow,2014.0
Timsah Arena,43877.0,Bursa,Turkey,Bursaspor,2014.0
Rostov-on-Don Stadium,43702.0,Rostov-on-Don,Russia,FC Rostov,2015.0
New Konya Stadium,42276.0,Konya,Turkey,Konyaspor,2014.0
Beşiktaş Vodafone Arena,41903.0,Istanbul,Turkey,Beşiktaş,2014.0
New Trabzon Stadium,41565.0,Trabzon,Turkey,Trabzonspor,2016.0
New Samsun 19 Mayıs Stadium,33919.0,Samsun,Turkey,Samsunspor,2015.0
Stadion Widzewa,33128.0,Łódź,Poland,Widzew Łódź,2013.0
New Antalya Stadium,33000.0,Antalya,Turkey,Antalyaspor,2015.0
New Eskişehir Stadium,33000.0,Eskişehir,Turkey,Eskişehirspor,2015.0
New Gaziantep Stadium,33000.0,Gaziantep,Turkey,Gaziantepspor,2015.0
Ernest Pohl Stadium,32340.0,Zabrze,Poland,Górnik Zabrze,2013.0
Sammy Ofer Stadium,30820.0,Haifa,Israel,Maccabi Haifa F.C.,2014.0
VTB Arena,30000.0,Moscow,Russia,FC Dynamo Moscow,2017.0
Batumi Stadium,30000.0,Batumi,Georgia,FC Dinamo Batumi,2013.0
New Varna Stadium,30000.0,Varna,Bulgaria,PFC Cherno More Varna,2013.0
CSKA Moscow Stadium,30000.0,Moscow,Russia,PFC CSKA Moscow,2015.0
New Mersin Stadium,25534.0,Mersin,Turkey,Mersin İdmanyurdu SK,2013.0
Malatya Arena,25000.0,Malatya,Turkey,Malatyaspor,2015.0
New Sakarya Stadium,25000.0,Sakarya,Turkey,Sakaryaspor,2015.0
Sivas 4 Eylül Arena,25000.0,Sivas,Turkey,Sivasspor,2015.0
Stadion Albert Flórián,25000.0,Budapest,Hungary,Ferencvárosi TC,2015.0
City Arena,25000.0,Trnava,Slovakia,FC Spartak Trnava,2014.0
Lithuania National Stadium,25000.0,Vilnius,Lithuania,Lithuania national football team,2016.0
Debrecen Stadion,25000.0,Debrecen,Hungary,Debreceni VSC,2014.0
