Season,Driver,Team,Engine,Poles,Wins,Podiums,Points,Margin of defeat
1950.0,Juan Manuel Fangio,Alfa Romeo,Alfa Romeo,4.0,3.0,3.0,27,3
1951.0,Alberto Ascari,Ferrari,Ferrari,2.0,2.0,3.0,25,6
1952.0,Giuseppe Farina,Ferrari,Ferrari,2.0,0.0,4.0,24,12
1953.0,Juan Manuel Fangio,Maserati,Maserati,1.0,1.0,4.0,28,6.5
1954.0,José Froilán González,Ferrari,Ferrari,1.0,1.0,4.0,25.14,16.86
1955.0,Stirling Moss,Mercedes,Mercedes,1.0,1.0,3.0,23,17
1956.0,Stirling Moss,Maserati,Maserati,1.0,2.0,3.0,27,3
1957.0,Stirling Moss,Maserati Vanwall,Maserati Vanwall,1.0,3.0,3.0,25,15
1958.0,Stirling Moss,Cooper Vanwall,Climax Vanwall,3.0,4.0,5.0,41,1
1959.0,Tony Brooks,Ferrari,Ferrari,2.0,2.0,4.0,27,4
1960.0,Bruce McLaren,Cooper,Climax,0.0,1.0,6.0,34,9
1961.0,Wolfgang von Trips †,Ferrari,Ferrari,1.0,2.0,4.0,33,1
1962.0,Jim Clark,Lotus,Climax,5.0,3.0,3.0,30,12
1963.0,Graham Hill,BRM,BRM,2.0,2.0,5.0,29,25
1964.0,Graham Hill,BRM,BRM,1.0,2.0,5.0,39,1
1965.0,Graham Hill,BRM,BRM,4.0,2.0,6.0,40,14
1966.0,John Surtees,Ferrari Cooper,Ferrari Maserati,2.0,2.0,4.0,28,14
1967.0,Jack Brabham,Brabham,Repco,2.0,2.0,6.0,46,5
1968.0,Jackie Stewart,Matra,Ford,0.0,3.0,4.0,36,12
1969.0,Jacky Ickx,Brabham,Ford,2.0,2.0,5.0,37,26
1970.0,Jacky Ickx,Ferrari,Ferrari,4.0,3.0,5.0,40,5
1971.0,Ronnie Peterson,March,Ford,0.0,0.0,5.0,33,29
1972.0,Jackie Stewart,Tyrrell,Ford,2.0,4.0,5.0,45,16
1973.0,Emerson Fittipaldi,Lotus,Ford,1.0,3.0,8.0,55,16
1974.0,Clay Regazzoni,Ferrari,Ferrari,1.0,1.0,7.0,52,3
1975.0,Emerson Fittipaldi,McLaren,Ford,0.0,2.0,6.0,45,19.5
1976.0,Niki Lauda,Ferrari,Ferrari,3.0,5.0,9.0,68,1
1977.0,Jody Scheckter,Wolf,Ford,1.0,3.0,9.0,55,17
1978.0,Ronnie Peterson †,Lotus,Ford,3.0,2.0,7.0,51,14
1979.0,Gilles Villeneuve,Ferrari,Ferrari,1.0,3.0,7.0,47,4
1980.0,Nelson Piquet,Brabham,Ford,2.0,3.0,6.0,54,13
1981.0,Carlos Reutemann,Williams,Ford,2.0,2.0,7.0,49,1
1982.0,Didier Pironi,Ferrari,Ferrari,2.0,2.0,6.0,39,5
1983.0,Alain Prost,Renault,Renault,3.0,4.0,7.0,57,2
1984.0,Alain Prost,McLaren,TAG,3.0,7.0,9.0,71.5,0.5
1985.0,Michele Alboreto,Ferrari,Ferrari,1.0,2.0,8.0,53,20
1986.0,Nigel Mansell,Williams,Honda,2.0,5.0,9.0,70,2
1987.0,Nigel Mansell,Williams,Honda,8.0,6.0,7.0,61,15
1988.0,Alain Prost,McLaren,Honda,2.0,7.0,14.0,87,3
1989.0,Ayrton Senna,McLaren,Honda,13.0,6.0,7.0,60,16
1990.0,Alain Prost,Ferrari,Ferrari,0.0,5.0,9.0,71,7
1991.0,Nigel Mansell,Williams,Renault,2.0,5.0,9.0,72,24
1992.0,Riccardo Patrese,Williams,Renault,1.0,1.0,9.0,56,52
1993.0,Ayrton Senna,McLaren,Ford,1.0,5.0,9.0,73,26
1994.0,Damon Hill,Williams,Renault,2.0,6.0,11.0,91,1
1995.0,Damon Hill,Williams,Renault,7.0,4.0,9.0,69,33
1996.0,Jacques Villeneuve,Williams,Renault,3.0,4.0,11.0,78,19
1997.0,Heinz-Harald Frentzen *,Williams,Renault,1.0,1.0,7.0,42,39
1998.0,Michael Schumacher,Ferrari,Ferrari,3.0,6.0,11.0,86,14
1999.0,Eddie Irvine,Ferrari,Ferrari,0.0,4.0,9.0,74,2
2000.0,Mika Häkkinen,McLaren,Mercedes,5.0,4.0,11.0,89,19
2001.0,David Coulthard,McLaren,Mercedes,2.0,2.0,10.0,65,58
2002.0,Rubens Barrichello,Ferrari,Ferrari,3.0,4.0,10.0,77,67
2003.0,Kimi Räikkönen,McLaren,Mercedes,2.0,1.0,10.0,91,2
2004.0,Rubens Barrichello,Ferrari,Ferrari,4.0,2.0,14.0,114,34
2005.0,Kimi Räikkönen,McLaren,Mercedes,6.0,7.0,12.0,112,21
2006.0,Michael Schumacher,Ferrari,Ferrari,4.0,7.0,12.0,121,13
2007.0,Lewis Hamilton,McLaren,Mercedes,6.0,4.0,12.0,109,1
2008.0,Felipe Massa,Ferrari,Ferrari,6.0,6.0,10.0,97,1
2009.0,Sebastian Vettel,Red Bull,Renault,4.0,4.0,8.0,84,11
2010.0,Fernando Alonso,Ferrari,Ferrari,2.0,5.0,10.0,252,4
2011.0,Jenson Button,McLaren,Mercedes,0.0,3.0,12.0,270,122
