Club,Position in 2012,First season,Number of seasons,First season of current spell,Titles,Last title
AIK,4th,1924–25,84.0,2006.0,5.0,2009
BK Häcken,2nd,1983,12.0,2009.0,0.0,N/A
Djurgårdens IF,9th,1927–28,57.0,2001.0,7.0,2005
Gefle IF,11th,1933–34,12.0,2005.0,0.0,N/A
Halmstads BK,3rd in Superettan,1933–34,50.0,2013.0,4.0,2000
Helsingborgs IF,6th,1924–25,62.0,1993.0,7.0,2011
IF Brommapojkarna,2nd in Superettan,2007,3.0,2013.0,0.0,N/A
IF Elfsborg,1st,1926–27,69.0,1997.0,6.0,2012
IFK Göteborg,7th,1924–25,80.0,1977.0,13.0,2007
IFK Norrköping,5th,1924–25,72.0,2011.0,12.0,1992
Kalmar FF,10th,1949–50,25.0,2004.0,1.0,2008
Malmö FF,3rd,1931–32,77.0,2001.0,19.0,2010
Mjällby AIF,12th,1980,6.0,2010.0,0.0,N/A
Syrianska FC,13th,2011,2.0,2011.0,0.0,N/A
Åtvidabergs FF,8th,1968,17.0,2012.0,2.0,1973
