Series #,Episode #,Title,Directed by,Written by,Original air date
11.0,1.0,"""The Prophet""",Michael Robison,Eric Tuchman,"June11,2007"
12.0,2.0,"""The Homecoming""",Pat Williams,Tommy Thompson,"June18,2007"
13.0,3.0,"""The List is Life""",Pat Williams,Julie Plec,"June25,2007"
14.0,4.0,"""Balancing Act""",Michael Robison,Steven Lilien & Bryan Wynbrandt,"July2,2007"
15.0,5.0,"""Come to Your Senses""",Morgan Beggs,Chad Fiveash & James Patrick Stoteraux,"July9,2007"
16.0,6.0,"""Does Kyle Dream of Electric Fish?""",Chris Grismer,R.P. Gaborno & Chris Hollier,"July16,2007"
17.0,7.0,"""Free To Be You and Me""",Guy Norman Bee,Julie Plec,"July23,2007"
18.0,8.0,"""What's the Frequency, Kyle?""",Chris Grismer,Steven Lilien & Bryan Wynbrandt,"July30,2007"
19.0,9.0,"""Ghost in the Machine""",Guy Norman Bee,Eric Bress & J. Mackye Gruber,"August6,2007"
20.0,10.0,"""House of Cards""",Pat Williams,Chad Fiveash & James Patrick Stoteraux,"August13,2007"
21.0,11.0,"""Hands on a Hybrid""",Rachel Talalay,Bryan M. Holdman,"August20,2007"
22.0,12.0,"""Lockdown""",Michael Robison,Charley Dane & Julie Plec,"August27,2007"
23.0,13.0,"""Leap of Faith""",Rachel Talalay,Eric Tuchman,"September3,2007"
24.0,14.0,"""To C.I.R., With Love""",Guy Norman Bee,Chad Fiveash & James Patrick Stoteraux,"January14,2008"
25.0,15.0,"""The Future's So Bright, I Gotta Wear Shades""",Chris Grismer,Steven Lilien & Bryan Wynbrandt,"January21,2008"
26.0,16.0,"""Great Expectations""",John Kretchmer,Bryan M. Holdman,"January28,2008"
27.0,17.0,"""Grounded""",Michael DeCarlo,R.P. Gaborno & Chris Hollier,"February4,2008"
28.0,18.0,"""Between The Rack and a Hard Place""",James Head,Chad Fiveash & James Patrick Stoteraux,"February11,2008"
29.0,19.0,"""First Cut Is the Deepest""",Michael Robison,David A. Weinstein,"February18,2008"
30.0,20.0,"""Primary Colors""",Peter DeLuise,Bryan M. Holdman,"February25,2008"
31.0,21.0,"""Grey Matters""",Michael Robison,Eric Tuchman,"March3,2008"
32.0,22.0,"""Hello...""",Peter DeLuise,Michael Berns,"March10,2008"
