Round,Grand Prix,Pole Position,Fastest Lap,Winning Driver,Winning Constructor,Report
1.0,Australian Grand Prix,Mika Häkkinen,Mika Häkkinen,Mika Häkkinen,McLaren - Mercedes,Report
2.0,Brazilian Grand Prix,Mika Häkkinen,Mika Häkkinen,Mika Häkkinen,McLaren - Mercedes,Report
3.0,Argentine Grand Prix,David Coulthard,Alexander Wurz,Michael Schumacher,Ferrari,Report
4.0,San Marino Grand Prix,David Coulthard,Michael Schumacher,David Coulthard,McLaren - Mercedes,Report
5.0,Spanish Grand Prix,Mika Häkkinen,Mika Häkkinen,Mika Häkkinen,McLaren - Mercedes,Report
6.0,Monaco Grand Prix,Mika Häkkinen,Mika Häkkinen,Mika Häkkinen,McLaren - Mercedes,Report
7.0,Canadian Grand Prix,David Coulthard,Michael Schumacher,Michael Schumacher,Ferrari,Report
8.0,French Grand Prix,Mika Häkkinen,David Coulthard,Michael Schumacher,Ferrari,Report
9.0,British Grand Prix,Mika Häkkinen,Michael Schumacher,Michael Schumacher,Ferrari,Report
10.0,Austrian Grand Prix,Giancarlo Fisichella,David Coulthard,Mika Häkkinen,McLaren - Mercedes,Report
11.0,German Grand Prix,Mika Häkkinen,David Coulthard,Mika Häkkinen,McLaren - Mercedes,Report
12.0,Hungarian Grand Prix,Mika Häkkinen,Michael Schumacher,Michael Schumacher,Ferrari,Report
13.0,Belgian Grand Prix,Mika Häkkinen,Michael Schumacher,Damon Hill,Jordan - Mugen-Honda,Report
14.0,Italian Grand Prix,Michael Schumacher,Mika Häkkinen,Michael Schumacher,Ferrari,Report
15.0,Luxembourg Grand Prix,Michael Schumacher,Mika Häkkinen,Mika Häkkinen,McLaren - Mercedes,Report
