No. in series,No. in season,Title,Directed by,Written by,Original air date,Production code,U.S. viewers (millions)
46.0,1.0,"""Like You Like an Arsonist""",Greg Prange,Mark Schwahn,"October5,2005",2T6151,3.46
47.0,2.0,"""From the Edge of the Deep Green Sea""",Kevin Dowling,Mark Schwahn,"October12,2005",2T6152,3.12
48.0,3.0,"""First Day on a Brand New Planet""",Billy Dickson,Terrence Coli,"October19,2005",2T6153,3.12
49.0,4.0,"""An Attempt to Tip the Scales""",Janice Cooke,Stacy Rukeyser,"October26,2005",2T6154,3.36
50.0,5.0,"""A Multitude of Casualties""",Thomas J. Wright,"R. Lee Fleming, Jr","November2,2005",2T6155,3.03
51.0,6.0,"""Locked Hearts and Hand Grenades""",Marita Grabiak,James Stoteraux and Chad Fiveash,"November9,2005",2T6156,3.42
53.0,8.0,"""The Worst Day Since Yesterday""",John Asher,Mike Herro and David Strauss,"November30,2005",2T6158,3.41
54.0,9.0,"""How a Resurrection Really Feels""",Greg Prange,Mark Schwahn,"December7,2005",2T6159,3.33
55.0,10.0,"""Brave New World""",John Asher,John A. Norris,"January11,2006",2T6160,3.23
56.0,11.0,"""Return of the Future""",Bethany Rooney,Terrence Coli,"January18,2006",2T6161,2.67
57.0,12.0,"""I've Got Dreams to Remember""",Stuart Gillard,Mike Herro and David Strauss,"January25,2006",2T6162,2.70
58.0,13.0,"""The Wind That Blew My Heart Away""",David Jackson,Stacy Rukeyser,"February1,2006",2T6163,3.01
59.0,14.0,"""All Tomorrow's Parties""",David Paymer,Anna Lotto,"February8,2006",2T6164,2.89
60.0,15.0,"""Just Watch the Fireworks""",Billy Dickson,James Stoteraux and Chad Fiveash,"February15,2006",2T6165,2.85
62.0,17.0,"""Who Will Survive, and What Will Be Left of Them""",John Asher,Mark Schwahn,"March29,2006",2T6167,2.82
63.0,18.0,"""When it Isn't Like it Should Be""",Paul Johansson,"R. Lee Fleming, Jr.","April5,2006",2T6168,2.93
65.0,20.0,"""Everyday is a Sunday Evening""",Billy Dickson,Mark Schwahn,"April19,2006",2T6170,2.67
66.0,21.0,"""Over the Hills and Far Away""",Thomas J. Wright,Mark Schwahn,"April26,2006",2T6171,2.87
