Stage,Winner,General classification,Points classification,Mountains classification,Intergiro classification,Trofeo Fast Team
1.0,Silvio Martinello,Silvio Martinello,Silvio Martinello,N/A,N/A,Scrigno-Blue Storm
2.0,Glenn Magnusson,Silvio Martinello,Stefano Zanini,N/A,N/A,Scrigno-Blue Storm
3.0,Giovanni Lombardi,Stefano Zanini,Stefano Zanini,N/A,N/A,Panaria-Vinavil
4.0,Mario Cipollini,Silvio Martinello,Silvio Martinello,N/A,N/A,Scrigno-Blue Storm
5.0,Ángel Edo,Silvio Martinello,Silvio Martinello,N/A,N/A,Panaria-Vinavil
6.0,Pascal Hervé,Pascal Hervé,Silvio Martinello,N/A,N/A,Saeco-AS Juvenes San Marino
7.0,Davide Rebellin,Davide Rebellin,Silvio Martinello,N/A,N/A,Team Polti
8.0,Mario Cipollini,Davide Rebellin,Silvio Martinello,N/A,N/A,Team Polti
9.0,Enrico Zaina,Davide Rebellin,Silvio Martinello,N/A,N/A,Team Polti
10.0,Rodolfo Massi,Davide Rebellin,Silvio Martinello,N/A,N/A,Gewiss Playbus
11.0,Mario Cipollini,Davide Rebellin,Silvio Martinello,N/A,N/A,Gewiss Playbus
12.0,Fabiano Fontanelli,Davide Rebellin,Fabrizio Guidi,N/A,N/A,Gewiss Playbus
13.0,Pavel Tonkov,Pavel Tonkov,Silvio Martinello,N/A,N/A,Gewiss Playbus
14.0,Pascal Richard,Pavel Tonkov,Fabrizio Guidi,N/A,N/A,Carrera Jeans-Tassoni
15.0,Gianni Bugno,Pavel Tonkov,Fabrizio Guidi,N/A,N/A,Carrera Jeans-Tassoni
16.0,Alexander Gontchenkov,Pavel Tonkov,Fabrizio Guidi,N/A,N/A,Carrera Jeans-Tassoni
17.0,Nicolaj Bo Larsen,Pavel Tonkov,Fabrizio Guidi,N/A,N/A,Carrera Jeans-Tassoni
18.0,Mario Cipollini,Pavel Tonkov,Fabrizio Guidi,N/A,N/A,Carrera Jeans-Tassoni
19.0,Evgeni Berzin,Pavel Tonkov,Fabrizio Guidi,N/A,N/A,Gewiss Playbus
20.0,Enrico Zaina,Abraham Olano,Fabrizio Guidi,N/A,N/A,Carrera Jeans-Tassoni
21.0,Ivan Gotti,Pavel Tonkov,Fabrizio Guidi,N/A,N/A,Carrera Jeans-Tassoni
22.0,Serguei Outschakov,Pavel Tonkov,Fabrizio Guidi,N/A,N/A,Carrera Jeans-Tassoni
