No,Player,Height,Position,Year born,Current Club
4.0,Dror Hagag,1.78,Guard,1978.0,Hapoel Jerusalem
5.0,Moran Rot,1.78,Guard,1982.0,Hapoel Holon
6.0,Yotam Halperin,1.96,Guard,1984.0,Maccabi Tel Aviv
7.0,Lior Eliyahu,2.05,Forward,1985.0,Maccabi Tel Aviv
8.0,Erez Markovich,2.08,Center,1978.0,Hapoel Jerusalem
9.0,Jeron Roberts,1.94,Guard,1976.0,Demon Astronauts Amsterdam
10.0,Guy Pnini,2.01,Forward,1983.0,Hapoel Jerusalem
11.0,Meir Tapiro,1.94,Guard,1975.0,Bnei HaSharon
12.0,Matan Naor,1.94,Forward,1980.0,Ironi Nahariya
13.0,Ido Kozikaro,2.02,Forward,1978.0,Ironi Nahariya
14.0,Yaniv Green,2.06,Forward,1980.0,CSK VVS Samara
