Year,Winner,Language,Artist,Song,Points,Margin,Second place,Date,Venue,Location,Participants
2003.0,Croatia,Croatian,Dino Jelusić,"""Ti si moja prva ljubav""",134.0,9.0,Spain,15 November 2003,Forum Copenhagen,Copenhagen,16.0
2004.0,Spain,Spanish,María Isabel,""" Antes Muerta que Sencilla """,171.0,31.0,United Kingdom,20 November 2004,Håkons Hall,Lillehammer,18.0
2005.0,Belarus,Russian,Ksenia Sitnik,"""My vmeste"" (Мы вместе)",149.0,3.0,Spain,26 November 2005,Ethias Arena,Hasselt,16.0
2006.0,Russia,Russian,Tolmachevy Sisters,"""Vesenniy Jazz"" (Весенний джаз)",154.0,25.0,Belarus,2 December 2006,Sala Polivalentă,Bucharest,15.0
2007.0,Belarus,Russian,Alexey Zhigalkovich,"""S druz'yami"" (С друзьями)",137.0,1.0,Armenia,8 December 2007,Ahoy Rotterdam,Rotterdam,17.0
2008.0,Georgia,Imaginary,Bzikebi,"""Bzz..""",154.0,19.0,Ukraine,22 November 2008,Spyros Kyprianou Athletic Center,Limassol,15.0
2009.0,Netherlands,"Dutch , English",Ralf Mackenbach,"""Click Clack""",121.0,5.0,Armenia Russia,21 November 2009,Palace of Sports,Kiev,13.0
2010.0,Armenia,n Armenia,Vladimir Arzumanyan,"""Mama"" (Մամա)",120.0,1.0,Russia,20 November 2010,Minsk-Arena,Minsk,14.0
2011.0,Georgia,Georgian,CANDY,"""Candy Music""",108.0,5.0,Netherlands,3 December 2011,Karen Demirchyan Complex,Yerevan,13.0
2012.0,Ukraine,"Ukrainian , English",Anastasiya Petryk,"""Nebo"" (Небо)",138.0,35.0,Georgia,1 December 2012,Heineken Music Hall,Amsterdam,12.0
