County,Kerry #,Kerry %,Bush #,Bush %,Other #,Other %,Total #
Adams,7844.0,54.56%,6487.0,45.12%,45.0,0.31%,14376.0
Alcorn,5364.0,38.02%,8605.0,60.99%,141.0,1.00%,14110.0
Amite,2973.0,41.77%,4106.0,57.69%,38.0,0.53%,7117.0
Attala,3014.0,37.94%,4882.0,61.45%,49.0,0.62%,7945.0
Benton,2234.0,52.83%,1962.0,46.39%,33.0,0.78%,4229.0
Bolivar,8560.0,63.75%,4722.0,35.17%,145.0,1.08%,13427.0
Calhoun,2211.0,34.92%,4096.0,64.70%,24.0,0.38%,6331.0
Carroll,1897.0,34.01%,3652.0,65.48%,28.0,0.50%,5577.0
Chickasaw,3991.0,48.75%,4123.0,50.37%,72.0,0.88%,8186.0
Choctaw,1290.0,33.01%,2598.0,66.48%,20.0,0.51%,3908.0
Claiborne,4338.0,81.53%,941.0,17.68%,42.0,0.79%,5321.0
Clarke,2377.0,31.96%,5027.0,67.59%,34.0,0.46%,7438.0
Clay,4732.0,51.94%,4333.0,47.56%,46.0,0.50%,9111.0
Coahkoma,6741.0,64.10%,3643.0,34.64%,132.0,1.26%,10516.0
Copiah,4902.0,43.49%,6316.0,56.03%,54.0,0.48%,11272.0
Covington,3135.0,38.26%,5010.0,61.14%,49.0,0.60%,8194.0
DeSoto,13247.0,27.05%,35437.0,72.35%,297.0,0.61%,48981.0
Forrest,9781.0,37.71%,15966.0,61.56%,189.0,0.73%,25936.0
Franklin,1566.0,35.01%,2883.0,64.45%,24.0,0.54%,4473.0
George,1715.0,21.57%,6182.0,77.76%,53.0,0.67%,7950.0
Greene,1419.0,26.90%,3827.0,72.55%,29.0,0.55%,5275.0
Grendada,4154.0,41.33%,5844.0,58.15%,52.0,0.52%,10050.0
Hancock,5023.0,28.62%,12332.0,70.27%,195.0,1.11%,17550.0
Harrison,22555.0,36.49%,38781.0,62.74%,474.0,0.77%,61810.0
Hinds,51370.0,59.55%,34269.0,39.73%,626.0,0.73%,86265.0
Holmes,6170.0,75.87%,1925.0,23.67%,37.0,0.45%,8132.0
Hump,2975.0,63.96%,1626.0,34.96%,50.0,1.08%,4651.0
Issaquena,510.0,53.01%,437.0,45.43%,15.0,1.56%,962.0
Itawamba,2771.0,28.88%,6751.0,70.35%,74.0,0.77%,9596.0
Jackson,15046.0,30.45%,34035.0,68.88%,333.0,0.67%,49414.0
Jasper,4081.0,51.49%,3808.0,48.04%,37.0,0.47%,7926.0
JD,2955.0,51.30%,2667.0,46.30%,138.0,2.40%,5760.0
Jefferson,2798.0,81.34%,627.0,18.23%,15.0,0.44%,3440.0
Jones,7344.0,27.69%,19032.0,71.77%,142.0,0.54%,26518.0
Kemper,2454.0,53.48%,2107.0,45.91%,28.0,0.61%,4589.0
Lafayette,6218.0,40.41%,9004.0,58.51%,166.0,1.08%,15388.0
Lamar,3876.0,19.10%,16288.0,80.26%,130.0,0.64%,20294.0
