Rnd,Circuit,GTO Winning Team,GTU Winning Team,TO Winning Team,TU Winning Team,Results
1.0,Virginia,#57 Corvette,#59 Brumos Porsche - Audi,#21 Javelin,#71 Opel,Results
1.0,Virginia,Dave Heinz,Peter Gregg Hurley Haywood,Robert Hennig Richard Staples,Amos Johnson Roger Mandeville Bunny Diggett,Results
2.0,Alabama,#57 Corvette,#59 Brumos Porsche - Audi,#21 Javelin,#21 Mini,Results
2.0,Alabama,Dave Heinz,Peter Gregg Hurley Haywood,Robert Hennig,Joe Richardson,Results
3.0,Charlotte,#57 Corvette,#59 Brumos Porsche - Audi,#21 Javelin,#64 Mini,Results
3.0,Charlotte,Dave Heinz Or Costanzo,Peter Gregg Hurley Haywood,Robert Hennig Bob Beasley,Anthony Milne Richard Stevens,Results
4.0,Bridgehampton,#18 Es-Pa Racing,#59 Brumos Porsche - Audi,#84 Camaro,#85 Alfa Romeo,Results
4.0,Bridgehampton,Rodney Harris John Paul Sr.,Peter Gregg Hurley Haywood,George Lisberg Ray Cuomo,Walt Simendinger Bob Heiberg,Results
5.0,Summit Point,#49 Mustang,#59 Brumos Porsche - Audi,#42 Camaro,#93 Jerry Walsh,Results
5.0,Summit Point,Lee McDonald Albert Pentrillo,Peter Gregg Hurley Haywood,Steve Ross,Jerry Walsh Lee Wiese,Results
6.0,Daytona,#57 Corvette,#34 911,#3 Camaro,#11 2002,Results
