Number,Astronaut,Agency,Total EVAs,Total Time Hours:Minutes
1.0,Solovyev Anatoly Solovyev,RSA,16.0,82:22
2.0,Lopez-Alegria Michael Lopez-Alegria,NASA,10.0,67:40
3.0,Ross Jerry L. Ross,NASA,9.0,58:32
4.0,Grunsfeld John M. Grunsfeld,NASA,8.0,58:30
5.0,Yurchikhin Fyodor Yurchikhin,RSA,8.0,51:53
6.0,Williams Sunita Williams,NASA,7.0,50:40
7.0,Smith Steven L. Smith,NASA,7.0,49:48
8.0,Fincke Michael Fincke,NASA,9.0,48:37
9.0,Bowen Stephen G. Bowen,NASA,7.0,47:18
10.0,Parazynski Scott E. Parazynski,NASA,7.0,47:05
11.0,Tanner Joseph R. Tanner,NASA,7.0,46:29
12.0,Curbeam Robert L. Curbeam,NASA,7.0,45:34
13.0,Budarin Nikolai Budarin,RSA,8.0,44:25
14.0,Wheelock Douglas H. Wheelock,NASA,6.0,43:30
15.0,Newman James H. Newman,NASA,6.0,43:13
16.0,Onufrienko Yuri Onufrienko,RSA,8.0,42:33
17.0,Linnehan Richard Linnehan,NASA,6.0,42:23
18.0,Feustel Andrew J. Feustel,NASA,6.0,42:18
19.0,Fossun Michael Fossum,NASA,6.0,42:01
20.0,Wolf David Wolf,NASA,7.0,41:17
21.0,Musabeyev Talgat Musabayev,RSA,7.0,41:13
22.0,Sellers Piers Sellers,NASA,6.0,41:10
23.0,Krikalev Sergei Krikalev,RSA,8.0,41:08
24.0,Avdeyev Sergei Avdeyev,RSA,8.0,41:00
25.0,Whitson Peggy Whitson,NASA,6.0,39:46
26.0,Tani Daniel M. Tani,NASA,6.0,39:11
27.0,Mastracchio Richard Mastracchio,NASA,6.0,38:30
28.0,Anderson Clayton Anderson,NASA,6.0,38:28
29.0,Vinogradov Pavel Vinogradov,RSA,7.0,38:25
