Series #,Season #,Title,Story by,Teleplay by,Directed by,Original air date
14.0,1.0,""" Ebb Tide """,David Simon & Ed Burns,David Simon,Ed Bianchi,"June1,2003"
15.0,2.0,""" Collateral Damage """,David Simon & Ed Burns,David Simon,Ed Bianchi,"June8,2003"
16.0,3.0,""" Hot Shots """,David Simon & Ed Burns,David Simon,Elodie Keene,"June15,2003"
17.0,4.0,""" Hard Cases """,David Simon & Joy Lusco,Joy Lusco,Elodie Keene,"June22,2003"
18.0,5.0,""" Undertow """,David Simon & Ed Burns,Ed Burns,Steve Shill,"June29,2003"
19.0,6.0,""" All Prologue """,David Simon & Ed Burns,David Simon,Steve Shill,"July6,2003"
20.0,7.0,""" Backwash """,David Simon & Rafael Alvarez,Rafael Alvarez,Thomas J. Wright,"July13,2003"
21.0,8.0,""" Duck and Cover """,David Simon & George Pelecanos,George Pelecanos,Dan Attias,"July27,2003"
22.0,9.0,""" Stray Rounds """,David Simon & Ed Burns,David Simon,Tim Van Patten,"August3,2003"
23.0,10.0,""" Storm Warnings """,David Simon & Ed Burns,Ed Burns,Rob Bailey,"August10,2003"
24.0,11.0,""" Bad Dreams """,David Simon & George Pelecanos,George Pelecanos,Ernest Dickerson,"August17,2003"
