Place,Shooter,Total,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6
1.0,Torsten Ullman ( SWE ),559.0,95.0,92.0,94.0,91.0,92.0,95.0
2.0,Erich Krempel ( GER ),544.0,87.0,88.0,91.0,92.0,95.0,91.0
3.0,Charles des Jammonières ( FRA ),540.0,91.0,92.0,86.0,91.0,90.0,90.0
4.0,Marcel Bonin ( FRA ),538.0,92.0,90.0,91.0,86.0,89.0,90.0
5.0,Tapio Vartiovaara ( FIN ),537.0,95.0,86.0,86.0,88.0,93.0,89.0
6.0,Elliott Jones ( USA ),536.0,92.0,90.0,83.0,92.0,90.0,89.0
7.0,Georgios Stathis ( GRE ),532.0,90.0,89.0,92.0,89.0,87.0,85.0
8.0,Aatto Nuora ( FIN ),532.0,86.0,89.0,90.0,86.0,92.0,89.0
9.0,Sándor Tölgyesi ( HUN ),528.0,87.0,88.0,88.0,90.0,90.0,85.0
10.0,Bertalan Zsótér ( HUN ),525.0,87.0,85.0,88.0,84.0,92.0,89.0
11.0,Mauritz Amundsen ( NOR ),525.0,89.0,87.0,92.0,86.0,84.0,87.0
12.0,Paul Wehner ( GER ),525.0,90.0,84.0,88.0,87.0,88.0,88.0
13.0,Jean Lafortune ( BEL ),524.0,83.0,87.0,89.0,85.0,85.0,95.0
14.0,Roberto Müller ( CHI ),521.0,88.0,89.0,83.0,85.0,83.0,93.0
15.0,Jaakko Rintanen ( FIN ),520.0,89.0,85.0,83.0,88.0,89.0,86.0
16.0,Carlos Lalanne ( CHI ),520.0,86.0,87.0,89.0,86.0,87.0,85.0
17.0,William Riedell ( USA ),519.0,82.0,87.0,85.0,89.0,84.0,92.0
18.0,Juan Rostagno ( ARG ),519.0,90.0,85.0,88.0,80.0,89.0,87.0
19.0,Emil Martin ( GER ),519.0,84.0,86.0,91.0,81.0,88.0,89.0
20.0,René Koch ( FRA ),519.0,82.0,89.0,88.0,90.0,80.0,90.0
21.0,Stefano Margotti ( ITA ),518.0,84.0,84.0,82.0,93.0,88.0,87.0
22.0,Julius Lehrmann ( DEN ),518.0,81.0,86.0,91.0,88.0,84.0,88.0
23.0,Václav Krecl ( TCH ),518.0,91.0,82.0,89.0,82.0,82.0,92.0
24.0,Helge Meuller ( SWE ),517.0,85.0,85.0,82.0,88.0,87.0,90.0
25.0,Harvey Dias Villela ( BRA ),515.0,82.0,84.0,87.0,87.0,85.0,90.0
26.0,Gustaf Bergström ( SWE ),514.0,85.0,88.0,77.0,88.0,88.0,88.0
27.0,Miguel Lonegro ( ARG ),513.0,87.0,79.0,87.0,85.0,90.0,85.0
28.0,Christen Møller ( DEN ),513.0,84.0,90.0,82.0,85.0,87.0,85.0
29.0,Enrique Ojeda ( CHI ),512.0,86.0,88.0,80.0,89.0,85.0,84.0
30.0,Martin Gison ( PHI ),511.0,80.0,82.0,86.0,92.0,82.0,89.0
31.0,Paul Van Asbroeck ( BEL ),510.0,90.0,86.0,87.0,71.0,89.0,87.0
32.0,Giancarlo Boriani ( ITA ),506.0,80.0,85.0,86.0,90.0,79.0,86.0
33.0,Ralph Marshall ( USA ),505.0,91.0,87.0,84.0,82.0,83.0,78.0
34.0,Jan Koller ( TCH ),503.0,84.0,82.0,87.0,81.0,86.0,83.0
35.0,Georgios Kontogiannis ( GRE ),502.0,81.0,85.0,85.0,86.0,83.0,82.0
36.0,Ugo Pistolesi ( ITA ),502.0,86.0,80.0,88.0,80.0,87.0,81.0
37.0,Otoniel Gonzaga ( PHI ),501.0,84.0,79.0,84.0,84.0,83.0,87.0
38.0,Herman Schultz ( MON ),496.0,82.0,79.0,85.0,82.0,87.0,81.0
39.0,François Lafortune ( BEL ),495.0,75.0,78.0,90.0,89.0,84.0,79.0
40.0,Moysés Cardoso ( POR ),490.0,79.0,80.0,84.0,82.0,86.0,79.0
41.0,Louis Briano ( MON ),467.0,73.0,72.0,79.0,87.0,80.0,76.0
42.0,Vasile Crişan ( ROU ),446.0,73.0,65.0,72.0,71.0,80.0,85.0
