Episode #,The Wørd,Guest,Introductory phrase,Original Airdate,Production Code
332.0,"""(left blank)""","Andrew Sullivan , Richard Freeman","""Hey. This is The Colber-t Repor-t.""",January 7,4001.0
333.0,"""None""","Chris Beam , Gary Rosen",None (show begins with opening sequence),January 8,4002.0
334.0,"""None""","Mike Huckabee , Matt Taibbi",None (show begins with opening sequence),January 9,4003.0
335.0,"""None""","Norman Ornstein , Muhammad Yunus",None (show begins with opening sequence),January 10,4004.0
336.0,"""None""",Neil Shubin,None (show begins with opening sequence),January 14,4005.0
337.0,"""None""","Peter Hopkins, Jared Cohen",None (show begins with opening sequence),January 15,4006.0
338.0,"""None""","Benjamin Eckstein, Deborah Tannen",None (show begins with opening sequence),January 16,4007.0
340.0,"""None""","Allan Sloan, Eric Weiner",None (show begins with opening sequence),January 21,4009.0
341.0,"""None""","Malcolm Gladwell , Andrew Young",None (show begins with opening sequence),January 22,4010.0
342.0,"""None""","Marie Wood , Jeb Corliss , Andrew McLean",None (show begins with opening sequence),January 23,4011.0
343.0,"""None""","Debra Dickerson , Charles Nesson",None (show begins with opening sequence),January 24,4012.0
344.0,"""None""","Marjane Satrapi , Rick Warren",None (show begins with opening sequence),January 28,4013.0
345.0,"""None""","Joe Quesada , Jon Stewart , Alex Ross",None (show begins with opening sequence),January 29,4014.0
346.0,"""None""","Carl Hiaasen , Frans de Waal",None (show begins with opening sequence),January 30,4015.0
