Week,Date,Opponent,Result,Record,Game Site,Attendance
1.0,"September 19, 1965",Minnesota Vikings,W 35–16,1–0,Memorial Stadium,56562.0
2.0,"September 26, 1965",at Green Bay Packers,L 17–20,1–1,Milwaukee County Stadium,48130.0
3.0,"October 3, 1965",San Francisco 49ers,W 27–24,2–1,Memorial Stadium,58609.0
4.0,"October 10, 1965",Detroit Lions,W 31–7,3–1,Memorial Stadium,60238.0
5.0,"October 17, 1965",at Washington Redskins,W 38–7,4–1,RFK Stadium,50405.0
6.0,"October 24, 1965",Los Angeles Rams,W 35–20,5–1,Memorial Stadium,45827.0
7.0,"October 31, 1966",at San Francisco 49ers,W 34–28,6–1,Kezar Stadium,45827.0
8.0,"November 7, 1965",at Chicago Bears,W 26–21,7–1,Wrigley Field,45656.0
9.0,"November 14, 1965",at Minnesota Vikings,W 41–21,8–1,Metropolitan Stadium,47426.0
10.0,"November 21, 1965",Philadelphia Eagles,W 34–24,9–1,Memorial Stadium,60238.0
11.0,"November 25, 1965",at Detroit Lions,T 24–24,9–1–1,Tiger Stadium,55036.0
12.0,"December 5, 1966",Chicago Bears,L 0–13,9–2–1,Memorial Stadium,60238.0
13.0,"December 12, 1965",Green Bay Packers,L 27–42,9–3–1,Memorial Stadium,60238.0
