Name,GP,Solo,Ast,Total,TFL-Yds,No-Yds,BrUp,QBH,No.-Yds,Avg,TD,Rcv-Yds,FF,Blkd Kick
"Brown, Jahmal",1.0,11.0,3.0,14.0,0-0,0-0,1.0,0.0,0-0,0.0,0.0,0-0,0.0,0.0
"Smith, Antonio",1.0,9.0,3.0,12.0,2-13,1-8,2.0,0.0,0-0,0.0,0.0,0-0,1.0,0.0
"Haneline, John",1.0,5.0,2.0,7.0,0-0,0-0,0.0,0.0,0-0,0.0,0.0,0-0,0.0,0.0
"Mahone, P.J.",1.0,4.0,3.0,7.0,0-0,0-0,1.0,0.0,0-0,0.0,0.0,0-0,0.0,0.0
"Lewis, Kenny",1.0,5.0,1.0,6.0,0-0,0-0,1.0,0.0,1-0,0.0,0.0,1-0,1.0,0.0
"Dozier, Erique",1.0,4.0,2.0,6.0,0-0,1-0,2.0,1.0,0-0,0.0,0.0,1-0,1.0,0.0
"Briggs, Diyral",1.0,4.0,2.0,6.0,2-9,2-9,0.0,3.0,0-0,0.0,0.0,0-0,0.0,0.0
"Sanderson, Jerett",1.0,4.0,0.0,4.0,0-0,0-0,0.0,0.0,0-0,0.0,0.0,0-0,0.0,0.0
"Ream, Michael",1.0,2.0,2.0,4.0,1-3,0-0,0.0,3.0,0-0,0.0,0.0,0-0,0.0,0.0
"Johnson, Andrew",1.0,0.0,2.0,2.0,0-0,0-0,0.0,0.0,0-0,0.0,0.0,0-0,0.0,0.0
"Williams, Roger",1.0,2.0,0.0,2.0,1-2,0-0,0.0,0.0,0-0,0.0,0.0,0-0,0.0,0.0
"Fells, Eugene",1.0,0.0,1.0,1.0,0-0,0-0,0.0,0.0,0-0,0.0,0.0,0-0,0.0,0.0
"Magnone, Angelo",1.0,0.0,1.0,1.0,0-0,0-0,0.0,1.0,0-0,0.0,0.0,1-6,0.0,0.0
"Parks, Lewis",1.0,1.0,0.0,1.0,0-0,0-0,0.0,0.0,0-0,0.0,0.0,0-0,0.0,0.0
"Baker, Adrian",1.0,1.0,0.0,1.0,0-0,0-0,0.0,0.0,0-0,0.0,0.0,0-0,0.0,0.0
"Alvarado, Kevin",1.0,0.0,1.0,1.0,0-0,0-0,0.0,0.0,0-0,0.0,0.0,0-0,0.0,0.0
"Basler, Cody",1.0,1.0,0.0,1.0,0-0,0-0,0.0,0.0,0-0,0.0,0.0,0-0,0.0,0.0
"Rice, Jason",1.0,0.0,1.0,1.0,0-0,0-0,0.0,0.0,0-0,0.0,0.0,0-0,0.0,0.0
