Station,Year opened,Metropolitan borough [c ],Zone,Servedby Route maps:- [ dead link ] [ dead link ],Station users 2006–07,Station users 2007–08
Acocks Green,1852,Birmingham,3.0,Chiltern Railways London Midland,160100.0,161400.0
Adderley Park,1860,Birmingham,2.0,London Midland,19500.0,20400.0
Aston,1854,Birmingham,2.0,London Midland,167700.0,206300.0
Berkswell,1884,Solihull,5.0,London Midland,112000.0,114100.0
Bescot Stadium,1847,Sandwell,4.0,London Midland,55000.0,48200.0
Birmingham Moor Street,1909,Birmingham,1.0,Chiltern Railways London Midland,2680800.0,687400.0
Birmingham Snow Hill,1852 [d ],Birmingham,1.0,Chiltern Railways London Midland Midland Metro,1939000.0,2407300.0
Blake Street,1884,Birmingham,5.0,London Midland,175900.0,184000.0
Bloxwich,1989,Walsall,5.0,London Midland,21100.0,24000.0
Bloxwich North,1990,Walsall,5.0,London Midland,23800.0,26600.0
Bordesley,1855,Birmingham,2.0,London Midland,3700.0,4000.0
Bournville,1876,Birmingham,3.0,London Midland,405900.0,466900.0
Butlers Lane,1957,Birmingham,5.0,London Midland,96000.0,103000.0
Canley,1940,Coventry,5.0,London Midland,77900.0,90000.0
Chester Road,1863,Birmingham,3.0,London Midland,266700.0,296200.0
Coseley,1852 [e ],Dudley,5.0,London Midland,117200.0,126600.0
Coventry,1838,Coventry,5.0,CrossCountry London Midland Virgin Trains,2874900.0,3039500.0
Cradley Heath,1863,Sandwell,5.0,Chiltern Railways London Midland,242500.0,288300.0
Dorridge,1852,Solihull,5.0,Chiltern Railways London Midland,300800.0,304500.0
Duddeston,1837,Birmingham,2.0,London Midland,55700.0,59900.0
Dudley Port,1852 [f ],Sandwell,4.0,London Midland,144300.0,155200.0
Earlswood [a ],1908,Solihull,5.0,London Midland,38400.0,32400.0
Erdington,1862,Birmingham,3.0,London Midland,299100.0,336000.0
Five Ways,1885 [g ],Birmingham,1.0,London Midland,514400.0,563900.0
Four Oaks,1884,Birmingham,5.0,London Midland,251000.0,276600.0
Gravelly Hill,1862,Birmingham,2.0,London Midland,199900.0,231400.0
Hall Green,1908,Birmingham,3.0,London Midland,143500.0,139400.0
Hampton-in-Arden,1837 [h ],Solihull,5.0,London Midland,54900.0,57300.0
Hamstead,1862,Birmingham,3.0,London Midland,67100.0,69500.0
Jewellery Quarter,1995,Birmingham,1.0,Chiltern Railways London Midland Midland Metro,108700.0,116800.0
Kings Norton,1849,Birmingham,3.0,London Midland,447500.0,481400.0
Langley Green,1885,Sandwell,3.0,Chiltern Railways London Midland,57900.0,60900.0
Lea Hall,1939,Birmingham,3.0,London Midland,146800.0,141200.0
Longbridge,1978 [i ],Birmingham,4.0,London Midland,342800.0,373300.0
Lye,1863,Dudley,5.0,Chiltern Railways London Midland,40400.0,46400.0
Marston Green,1844,Solihull,4.0,London Midland,183000.0,182200.0
Northfield,1870,Birmingham,4.0,London Midland,305800.0,333100.0
Old Hill,1866,Sandwell,4.0,Chiltern Railways London Midland,79000.0,83100.0
Olton,1869,Solihull,4.0,Chiltern Railways London Midland,140200.0,143100.0
Perry Barr,1837,Birmingham,2.0,London Midland,164100.0,172600.0
Rowley Regis,1867,Sandwell,3.0,Chiltern Railways London Midland,295900.0,325000.0
Sandwell and Dudley,1852,Sandwell,4.0,London Midland Virgin Trains,280000.0,314600.0
Selly Oak,1876,Birmingham,2.0,London Midland,1023500.0,1113300.0
Shirley,1908,Solihull,4.0,London Midland,172700.0,164000.0
Small Heath,1863,Birmingham,2.0,Chiltern Railways London Midland,37200.0,37700.0
Smethwick Rolfe Street,1852,Sandwell,2.0,London Midland,113600.0,107100.0
Solihull,1852,Solihull,4.0,Chiltern Railways London Midland,651800.0,662700.0
Spring Road,1908,Birmingham,3.0,London Midland,82800.0,77000.0
Stechford,1844,Birmingham,3.0,London Midland,109200.0,119800.0
Stourbridge Junction,1852,Dudley,5.0,Chiltern Railways London Midland,444200.0,499600.0
Stourbridge Town,1879 [j ],Dudley,5.0,London Midland,258700.0,278800.0
Sutton Coldfield,1862 [k ],Birmingham,4.0,London Midland,578100.0,634300.0
Tame Bridge Parkway,1990,Sandwell,4.0,London Midland Wrexham & Shropshire |,177800.0,189700.0
The Hawthorns,1931 [l ],Sandwell,2.0,Chiltern Railways London Midland Midland Metro,145700.0,157200.0
Tile Hill,1864,Coventry,5.0,London Midland,130700.0,142100.0
Tipton,1852,Sandwell,5.0,London Midland,124600.0,126800.0
Tyseley,1906,Birmingham,2.0,Chiltern Railways London Midland,63200.0,66500.0
University,1978,Birmingham,2.0,CrossCountry London Midland,1190800.0,1250900.0
Walsall,1849 [m ],Walsall,4.0,London Midland,583300.0,587000.0
Whitlocks End,1936,Solihull,4.0,London Midland,23500.0,26600.0
Widney Manor,1899,Solihull,4.0,Chiltern Railways London Midland,119500.0,116900.0
Witton,1876,Birmingham,2.0,London Midland,77400.0,99800.0
Wylde Green,1862,Birmingham,4.0,London Midland,223900.0,243800.0
Wythall [a ],1908,Bromsgrove,5.0,London Midland,31400.0,30300.0
