Team,Titles,Runner-up,Third place,Fourth place,Years participated
Michigan,15.0,13.0,10.0,5.0,43.0
Michigan State,12.0,13.0,10.0,4.0,39.0
Michigan Tech,10.0,12.0,10.0,16.0,48.0
North Dakota,2.0,1.0,0.0,1.0,4.0
Toronto,1.0,0.0,0.0,0.0,1.0
New Hampshire,1.0,0.0,1.0,0.0,2.0
Colorado College,1.0,1.0,0.0,1.0,3.0
Western Michigan,1.0,1.0,0.0,1.0,3.0
Wisconsin,1.0,1.0,1.0,0.0,3.0
Boston College,1.0,0.0,3.0,0.0,4.0
Notre Dame,1.0,0.0,0.0,3.0,4.0
Boston University,1.0,0.0,4.0,0.0,5.0
Harvard,1.0,0.0,2.0,2.0,5.0
Maine,0.0,1.0,0.0,0.0,1.0
Ohio State,0.0,1.0,0.0,0.0,1.0
Rensselaer Polytechnic Institute,0.0,2.0,0.0,0.0,2.0
Lake Superior State,0.0,1.0,1.0,1.0,3.0
Northern Michigan,0.0,1.0,2.0,2.0,5.0
Colgate,0.0,0.0,1.0,0.0,1.0
Dartmouth,0.0,0.0,1.0,0.0,1.0
Providence,0.0,0.0,1.0,0.0,1.0
Brown,0.0,0.0,1.0,1.0,2.0
Cornell,0.0,0.0,0.0,1.0,1.0
Princeton,0.0,0.0,0.0,1.0,1.0
St Lawrence,0.0,0.0,0.0,1.0,1.0
Yale,0.0,0.0,0.0,1.0,1.0
Bowling Green,0.0,0.0,0.0,2.0,2.0
Pennsylvania,0.0,0.0,0.0,2.0,2.0
