N°,Television service,Country,Language,Content,DAR,HDTV,PPV,Package/Option
248.0,Sky Calcio Info,Italy,Italian,informazioni,16:9,no,no,no ( FTA )
249.0,Sky Supercalcio HD,Italy,Italian,calcio,16:9,yes,no,Sky Calcio + Sky HD
250.0,Sky Sport 24 HD,Italy,Italian,sport news,16:9,yes,no,Sky Sport o Sky Calcio o Sky TV + Sky HD
251.0,Sky Calcio 1,Italy,Italian,calcio,16:9,no,yes,Sky Calcio; qualsiasi in PPV
251.0,Sky Calcio 1 HD,Italy,Italian,calcio,16:9,yes,yes,Sky Calcio + Sky HD ; solamente Sky HD in PPV
252.0,Sky Calcio 2,Italy,Italian,calcio,16:9,no,yes,Sky Calcio; qualsiasi in PPV
252.0,Sky Calcio 2 HD,Italy,Italian,calcio,16:9,yes,yes,Sky Calcio + Sky HD ; solamente Sky HD in PPV
253.0,Sky Calcio 3,Italy,Italian,calcio,16:9,no,yes,Sky Calcio; qualsiasi in PPV
253.0,Sky Calcio 3 HD,Italy,Italian,calcio,16:9,yes,yes,Sky Calcio + Sky HD ; solamente Sky HD in PPV
254.0,Sky Calcio 4,Italy,Italian,calcio,16:9,no,yes,Sky Calcio; qualsiasi in PPV
254.0,Sky Calcio 4 HD,Italy,Italian,calcio,16:9,yes,yes,Sky Calcio + Sky HD ; solamente Sky HD in PPV
255.0,Sky Calcio 5,Italy,Italian,calcio,16:9,no,yes,Sky Calcio; qualsiasi in PPV
255.0,Sky Calcio 5 HD,Italy,Italian,calcio,16:9,yes,yes,Sky Calcio + Sky HD ; solamente Sky HD in PPV
256.0,Sky Calcio 6,Italy,Italian,calcio,16:9,no,yes,Sky Calcio; qualsiasi in PPV
256.0,Sky Calcio 6 HD,Italy,Italian,calcio; PPV Wrestling,16:9,yes,yes,Sky Calcio + Sky HD ; solamente Sky HD in PPV
257.0,Sky Calcio 7,Italy,Italian,calcio,16:9,no,yes,Sky Calcio; qualsiasi in PPV
257.0,Sky Calcio 7 HD,Italy,Italian,calcio,16:9,yes,yes,Sky Calcio + Sky HD ; solamente Sky HD in PPV
258.0,Sky Calcio 8,Italy,Italian,calcio,16:9,no,yes,Sky Calcio; qualsiasi in PPV
258.0,Sky Calcio 8 HD,Italy,Italian,calcio,16:9,yes,yes,Sky Calcio + Sky HD ; solamente Sky HD in PPV
259.0,Sky Calcio 9,Italy,Italian,calcio,16:9,no,yes,Sky Calcio; qualsiasi in PPV
260.0,Sky Calcio 10,Italy,Italian,calcio,16:9,no,yes,Sky Calcio; qualsiasi in PPV
261.0,Sky Calcio 11,Italy,Italian,calcio,16:9,no,yes,Sky Calcio; qualsiasi in PPV
262.0,Sky Calcio 12,Italy,Italian,calcio,16:9,no,yes,Sky Calcio; qualsiasi in PPV
263.0,Sky Calcio 13,Italy,Italian,calcio,16:9,no,yes,Sky Calcio; qualsiasi in PPV
264.0,Sky Calcio 14,Italy,Italian,calcio,16:9,no,yes,Sky Calcio; qualsiasi in PPV
265.0,Sky WWE 24/7,Italy,Italian,calcio; PPV wrestling,16:9,no,yes,qualsiasi
271.0,Cartello promozionale Sky HD,Italy,Italian,promozionale,4:3,no,no,qualsiasi tranne Sky HD
271.0,Sky Calcio 1,Italy,Italian,calcio,16:9,no,yes,Sky Calcio; qualsiasi in PPV
272.0,Cartello promozionale Sky HD,Italy,Italian,promozionale,4:3,no,no,qualsiasi tranne Sky HD
272.0,Sky Calcio 2,Italy,Italian,calcio,16:9,no,yes,Sky Calcio; qualsiasi in PPV
273.0,Cartello promozionale Sky HD,Italy,Italian,promozionale,4:3,no,no,qualsiasi tranne Sky HD
273.0,Sky Calcio 3,Italy,Italian,calcio,16:9,no,yes,Sky Calcio; qualsiasi in PPV
274.0,Cartello promozionale Sky HD,Italy,Italian,promozionale,4:3,no,no,qualsiasi tranne Sky HD
274.0,Sky Calcio 4,Italy,Italian,calcio,16:9,no,yes,Sky Calcio; qualsiasi in PPV
275.0,Cartello promozionale Sky HD,Italy,Italian,promozionale,4:3,no,no,qualsiasi tranne Sky HD
275.0,Sky Calcio 5,Italy,Italian,calcio,16:9,no,yes,Sky Calcio; qualsiasi in PPV
276.0,Cartello promozionale Sky HD,Italy,Italian,promozionale,4:3,no,no,qualsiasi tranne Sky HD
276.0,Sky Calcio 6,Italy,Italian,calcio,16:9,no,yes,Sky Calcio; qualsiasi in PPV
277.0,Cartello promozionale Sky HD,Italy,Italian,promozionale,4:3,no,no,qualsiasi tranne Sky HD
277.0,Sky Calcio 7,Italy,Italian,calcio,16:9,no,yes,Sky Calcio; qualsiasi in PPV
278.0,Cartello promozionale Sky HD,Italy,Italian,promozionale,4:3,no,no,qualsiasi tranne Sky HD
