Institution,Wins,Loss,Home Wins,Home Losses,Away Wins,Away Losses,Neutral Wins,Neutral Losses,Current Streak
Illinois Fighting Illini,7.0,7.0,4.0,2.0,3.0,2.0,0.0,3.0,Won 4
Indiana Hoosiers,5.0,7.0,2.0,3.0,2.0,4.0,1.0,0.0,Won 2
Iowa Hawkeyes,2.0,10.0,2.0,3.0,0.0,5.0,0.0,2.0,Lost 7
Michigan Wolverines,5.0,7.0,3.0,3.0,1.0,4.0,1.0,0.0,Won 1
Michigan State Spartans,6.0,7.0,5.0,1.0,1.0,5.0,0.0,1.0,Lost 1
Minnesota Golden Gophers,6.0,8.0,4.0,3.0,2.0,5.0,0.0,0.0,Won 2
Nebraska Cornhuskers,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,Won 1
Northwestern Wildcats,6.0,8.0,4.0,3.0,2.0,5.0,0.0,0.0,Lost 1
Ohio State Buckeyes,6.0,6.0,4.0,2.0,2.0,3.0,0.0,1.0,Lost 1
Penn State Nittany Lions,5.0,7.0,2.0,4.0,3.0,3.0,0.0,0.0,Lost 1
Purdue Boilermakers,6.0,6.0,4.0,2.0,2.0,4.0,0.0,0.0,Won 4
Wisconsin Badgers,6.0,8.0,4.0,2.0,1.0,6.0,1.0,0.0,Lost 2
