Barangay,Area (km²),Population (2007),Population (2010),Pop. density (per km²)
Bool,3.488,4929.0,5221.0,1496.85
Booy,1.464,7896.0,8800.0,6010.93
Cabawan,2.673,1550.0,1531.0,572.76
Cogon,2.044,17266.0,17114.0,8372.8
Dampas,4.437,7210.0,8440.0,1902.19
Dao,3.909,6772.0,8227.0,2104.63
Manga,1.173,6081.0,6460.0,5507.25
Mansasa,0.829,5396.0,6156.0,7425.81
Poblacion I,0.259,3323.0,3072.0,11861
Poblacion II,0.702,5856.0,5029.0,7163.82
Poblacion III,0.707,6511.0,6051.0,8558.7
San Isidro,4.294,4500.0,4821.0,1122.73
Taloto,2.445,6176.0,6376.0,2607.77
Tiptip,2.821,3956.0,4360.0,1545.55
