Country,Amateur Era,Open Era,All-time,First title,Last title
United States (USA),17.0,24.0,41.0,1926.0,2013.0
Australia (AUS),26.0,13.0,39.0,1935.0,2000.0
France (FRA),20.0,2.0,22.0,1925.0,1984.0
Sweden (SWE),1.0,6.0,7.0,1948.0,2006.0
Netherlands (NED),0.0,6.0,6.0,1973.0,2002.0
India (IND),0.0,5.0,5.0,1999.0,2009.0
South Africa (RSA),2.0,2.0,4.0,1947.0,1972.0
Spain (ESP),1.0,3.0,4.0,1963.0,1990.0
Belarus (BLR),0.0,4.0,4.0,2005.0,2012.0
Canada (CAN),0.0,4.0,4.0,2007.0,2012.0
Switzerland (SUI),0.0,3.0,3.0,1981.0,1992.0
Russia (RUS),0.0,3.0,3.0,1996.0,2002.0
Czech Republic (CZE),0.0,3.0,3.0,1996.0,2009.0
Great Britain (GBR),2.0,0.0,2.0,1933.0,1933.0
Germany (GER),2.0,0.0,2.0,1937.0,1937.0
Czechoslovakia (TCH),1.0,1.0,2.0,1948.0,1986.0
Italy (ITA),2.0,0.0,2.0,1959.0,1959.0
Romania (ROU),0.0,2.0,2.0,1970.0,1970.0
Mexico (MEX),0.0,2.0,2.0,1975.0,1977.0
Belgium (BEL),0.0,2.0,2.0,2004.0,2004.0
New Zealand (NZL),0.0,1.0,1.0,1974.0,1974.0
Hungary (HUN),0.0,1.0,1.0,1981.0,1981.0
Ecuador (ECU),0.0,1.0,1.0,1988.0,1988.0
Zimbabwe (ZIM),0.0,1.0,1.0,1994.0,1994.0
Bahamas (BAH),0.0,1.0,1.0,2007.0,2007.0
Peru (PER),0.0,1.0,1.0,2008.0,2008.0
Uruguay (URU),0.0,1.0,1.0,2008.0,2008.0
