Position,Team,Played,Won,Drawn,Lost,Goals For,Goals Against,Goal Average 1,Points 2
1.0,Wigan Athletic,46.0,33.0,6.0,7.0,94.0,38.0,2.47,72.0
2.0,Runcorn,46.0,30.0,8.0,8.0,102.0,42.0,2.43,68.0
3.0,Altrincham,46.0,26.0,12.0,8.0,87.0,43.0,2.02,64.0
4.0,Stafford Rangers,46.0,25.0,13.0,8.0,81.0,39.0,2.08,63.0
5.0,Scarborough,46.0,24.0,12.0,10.0,75.0,45.0,1.67,60.0
6.0,Mossley,46.0,23.0,11.0,12.0,78.0,52.0,1.50,57.0
7.0,Gateshead United,46.0,22.0,12.0,12.0,74.0,48.0,1.54,56.0
8.0,Goole Town,46.0,19.0,12.0,15.0,75.0,71.0,1.06,50.0
9.0,Northwich Victoria,46.0,18.0,12.0,16.0,83.0,71.0,1.17,48.0
10.0,Great Harwood,46.0,17.0,14.0,15.0,69.0,66.0,1.05,48.0
11.0,Matlock Town,46.0,19.0,8.0,19.0,87.0,79.0,1.10,46.0
12.0,Boston United,46.0,16.0,14.0,16.0,64.0,63.0,1.02,46.0
13.0,Morecambe,46.0,14.0,15.0,17.0,71.0,87.0,0.82,43.0
14.0,Worksop Town,46.0,14.0,14.0,18.0,69.0,66.0,1.05,42.0
15.0,South Liverpool,46.0,14.0,14.0,18.0,59.0,71.0,0.83,42.0
16.0,Buxton,46.0,11.0,17.0,18.0,50.0,77.0,0.65,39.0
17.0,Macclesfield Town,46.0,11.0,14.0,21.0,46.0,62.0,0.74,36.0
18.0,Lancaster City,46.0,13.0,10.0,23.0,53.0,76.0,0.70,36.0
19.0,Bangor City,46.0,13.0,9.0,24.0,56.0,67.0,0.84,35.0
20.0,Gainsborough Trinity,46.0,10.0,15.0,21.0,46.0,79.0,0.58,35.0
21.0,Skelmersdale United,46.0,13.0,7.0,26.0,63.0,93.0,0.68,33.0
22.0,Barrow,46.0,9.0,15.0,22.0,45.0,72.0,0.63,33.0
23.0,Netherfield,46.0,12.0,8.0,26.0,43.0,92.0,0.47,32.0
