Player,League,Scottish Cup,League Cup,Challenge Cup,Total
Gary Harkins,9.0,1.0,1.0,1.0,12.0
Liam Buchanan,6.0,1.0,0.0,0.0,7.0
Stephen McKeown,3.0,0.0,2.0,2.0,7.0
Kris Doolan,5.0,0.0,0.0,0.0,5.0
Ian Maxwell,3.0,0.0,1.0,0.0,4.0
Scott Chaplain,2.0,1.0,1.0,0.0,4.0
Damon Gray,1.0,0.0,2.0,1.0,4.0
Paul Paton,3.0,0.0,0.0,0.0,3.0
Kevin McKinlay,2.0,0.0,0.0,0.0,2.0
Simon Donnelly,1.0,0.0,0.0,1.0,2.0
John Robertson,1.0,0.0,0.0,0.0,1.0
David Rowson,1.0,0.0,0.0,0.0,1.0
Lucas Akins,1.0,0.0,0.0,0.0,1.0
Mark Roberts,0.0,0.0,0.0,1.0,1.0
Chris Turner,0.0,0.0,0.0,1.0,1.0
