Seq.,Name,Background,Party Leadership,Communication Ability,Relations with Congress,Court Appointments,Handling of Economy,Luck,Ability to Compromise,Willing to take Risks,Executive Appointments,Overall Ability,Imagination,Domestic Accomplishments,Integrity,Executive Ability,Foreign Policy Accomplishments,Leadership Ability,Intelligence,Avoid Crucial Mistakes,Experts View,Overall
1,George Washington,7.0,18.0,12.0,3.0,3.0,4.0,1.0,3.0,4.0,1.0,4.0,9.0,4.0,2.0,2.0,3.0,1.0,12.0,1.0,3.0,4.0
2,John Adams,4.0,29.0,18.0,26.0,10.0,13.0,23.0,32.0,16.0,15.0,13.0,17.0,22.0,3.0,19.0,12.0,20.0,7.0,15.0,12.0,17.0
3,Thomas Jefferson,1.0,4.0,6.0,4.0,6.0,16.0,6.0,11.0,8.0,5.0,5.0,3.0,6.0,14.0,5.0,7.0,6.0,1.0,6.0,5.0,5.0
4,James Madison,3.0,10.0,11.0,9.0,7.0,12.0,17.0,7.0,15.0,9.0,6.0,8.0,12.0,5.0,14.0,20.0,17.0,2.0,10.0,8.0,6.0
5,James Monroe,9.0,12.0,15.0,8.0,14.0,9.0,9.0,8.0,17.0,8.0,16.0,16.0,8.0,10.0,11.0,2.0,13.0,15.0,7.0,9.0,7.0
6,John Quincy Adams,2.0,34.0,20.0,35.0,16.0,14.0,30.0,29.0,23.0,13.0,15.0,11.0,18.0,4.0,21.0,16.0,26.0,5.0,20.0,21.0,19.0
7,Andrew Jackson,30.0,2.0,10.0,14.0,27.0,28.0,4.0,38.0,5.0,19.0,12.0,13.0,14.0,23.0,6.0,19.0,5.0,23.0,12.0,13.0,14.0
8,Martin Van Buren,16.0,13.0,23.0,19.0,24.0,38.0,33.0,13.0,32.0,25.0,24.0,24.0,27.0,29.0,23.0,25.0,27.0,22.0,27.0,24.0,23.0
9,William Henry Harrison,24.0,30.0,25.0,31.0,33.0,27.0,42.0,35.0,30.0,24.0,37.0,35.0,36.0,30.0,33.0,39.0,24.0,31.0,33.0,34.0,35.0
10,John Tyler,33.0,42.0,39.0,42.0,39.0,31.0,22.0,39.0,26.0,34.0,35.0,29.0,34.0,33.0,37.0,35.0,36.0,33.0,32.0,36.0,37.0
11,James K. Polk,17.0,9.0,13.0,12.0,21.0,15.0,7.0,23.0,7.0,16.0,17.0,14.0,11.0,24.0,9.0,8.0,10.0,20.0,9.0,11.0,12.0
12,Zachary Taylor,37.0,35.0,28.0,37.0,37.0,24.0,36.0,34.0,28.0,28.0,34.0,27.0,37.0,21.0,31.0,34.0,25.0,37.0,25.0,33.0,33.0
13,Millard Fillmore,40.0,41.0,40.0,38.0,35.0,33.0,25.0,25.0,37.0,35.0,38.0,36.0,35.0,36.0,38.0,33.0,39.0,39.0,30.0,35.0,38.0
14,Franklin Pierce,38.0,37.0,37.0,41.0,40.0,34.0,35.0,36.0,38.0,38.0,39.0,39.0,39.0,38.0,40.0,40.0,40.0,38.0,35.0,40.0,40.0
15,James Buchanan,23.0,40.0,41.0,40.0,42.0,41.0,40.0,41.0,43.0,39.0,42.0,42.0,43.0,40.0,42.0,41.0,43.0,40.0,41.0,43.0,42.0
16,Abraham Lincoln,28.0,6.0,2.0,6.0,4.0,5.0,13.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,5.0,2.0,3.0,2.0,1.0,3.0
17,Andrew Johnson,42.0,43.0,43.0,43.0,43.0,37.0,39.0,43.0,34.0,42.0,41.0,41.0,42.0,37.0,41.0,38.0,42.0,41.0,42.0,42.0,43.0
18,Ulysses S. Grant,26.0,28.0,24.0,22.0,25.0,29.0,21.0,22.0,22.0,40.0,28.0,26.0,26.0,27.0,34.0,24.0,21.0,29.0,31.0,31.0,26.0
19,Rutherford B. Hayes,29.0,33.0,30.0,29.0,29.0,26.0,19.0,18.0,33.0,33.0,33.0,32.0,33.0,28.0,30.0,30.0,32.0,30.0,24.0,29.0,31.0
20,James A. Garfield,20.0,22.0,22.0,24.0,32.0,23.0,41.0,27.0,31.0,29.0,25.0,28.0,25.0,25.0,26.0,31.0,23.0,26.0,22.0,27.0,27.0
