Township,County,Pop. (2010),Land ( sqmi ),Water (sqmi),Latitude,Longitude,GEO ID,ANSI code
Galesburg,Traill,83.0,34.880,0.088,47.275052,-97.377726,3809729020.0,1036686.0
Garborg,Richland,96.0,36.048,0.000,46.412706,-97.092507,3807729060.0,1036849.0
Gardar,Pembina,95.0,35.900,0.000,48.586565,-97.861858,3806729140.0,1036721.0
Gardner,Cass,107.0,35.597,0.000,47.107857,-97.006614,3801729260.0,1036382.0
Garfield,Traill,169.0,34.932,0.000,47.628405,-97.408709,3809729300.0,1036709.0
Garner,Golden Valley,14.0,35.859,0.033,46.763852,-103.793192,3803329340.0,1037077.0
Garness,Burke,41.0,35.734,0.238,48.597470,-102.530731,3801329380.0,1037106.0
Garnet,Divide,21.0,35.442,0.292,48.669724,-103.461253,3802329420.0,1759391.0
Gascoyne,Bowman,13.0,35.480,0.056,46.061063,-103.047437,3801129580.0,1037242.0
Gasman,Ward,158.0,34.968,1.188,47.986054,-101.292254,3810129620.0,1036994.0
Gate,McLean,20.0,35.695,0.203,47.798190,-101.798760,3805529660.0,1759533.0
Gates,Eddy,43.0,35.488,0.371,47.804082,-99.083995,3802729700.0,1759405.0
Gem,Bowman,22.0,35.850,0.092,46.073648,-103.419814,3801129740.0,1037224.0
Gerber,Stutsman,9.0,33.576,2.101,47.187874,-99.442872,3809329860.0,1036506.0
German,Dickey,17.0,34.005,1.475,46.156786,-98.922493,3802129900.0,1036781.0
Germania,Stutsman,19.0,35.610,0.332,46.675105,-99.257982,3809329940.0,1036449.0
Germantown,Wells,29.0,35.084,0.189,47.623931,-99.447789,3810329980.0,1759702.0
Gerrard,Towner,13.0,35.513,0.353,48.590734,-99.288985,3809530020.0,1759652.0
Getchell,Barnes,73.0,34.780,1.037,47.015317,-98.031442,3800330060.0,1036427.0
Ghylin,Burleigh,41.0,35.645,0.000,47.112656,-100.559283,3801530100.0,1037191.0
Gibbs,Burleigh,1858.0,34.993,0.015,46.858129,-100.636969,3801530140.0,1037185.0
Gilby,Grand Forks,79.0,36.048,0.000,48.064200,-97.449288,3803530220.0,1036618.0
Gill,Cass,117.0,35.963,0.046,46.843247,-97.356306,3801730260.0,1036367.0
Gilmore,McHenry,13.0,35.487,0.670,48.411278,-100.722523,3804930300.0,1759491.0
Gilstrap,Adams,20.0,35.932,0.013,45.987824,-102.308144,3800130340.0,1037216.0
Glacier,Stutsman,22.0,34.668,0.973,47.282161,-99.172785,3809330380.0,1036512.0
Gladstone,LaMoure,51.0,36.012,0.000,46.500244,-98.222510,3804530420.0,1036897.0
Glen,LaMoure,38.0,33.995,1.371,46.588078,-98.953320,3804530540.0,1036917.0
Glendale,Logan,55.0,36.676,0.060,46.597063,-99.709798,3804730620.0,1037061.0
Glenfield,Foster,51.0,35.698,0.137,47.451722,-98.551615,3803130700.0,2397804.0
Glenila,Cavalier,13.0,35.753,0.124,48.832189,-98.963324,3801930780.0,1759360.0
Glenmore,LaMoure,53.0,35.959,0.000,46.500403,-98.725003,3804530820.0,1036905.0
Glenview,Burleigh,216.0,38.731,0.620,47.014586,-100.840657,3801530900.0,1037255.0
Glenwood,Walsh,201.0,35.732,0.000,48.499275,-97.600521,3809930940.0,1036546.0
Golden,Walsh,101.0,35.796,0.209,48.411901,-97.853075,3809931060.0,1036538.0
Golden Glen,LaMoure,108.0,35.272,0.077,46.323193,-98.733664,3804531100.0,1036891.0
Golden Lake,Steele,59.0,34.846,1.163,47.538741,-97.649068,3809131140.0,1036671.0
Golden Valley,Williams,19.0,35.960,0.130,48.423255,-103.070387,3810531260.0,1037031.0
Goldfield,Bowman,35.0,36.007,0.010,45.988073,-103.183244,3801131300.0,1759309.0
Good Luck,Williams,26.0,35.859,0.016,48.496096,-103.852512,3810531460.0,1759726.0
Goodrich,Sheridan,29.0,33.508,2.207,47.457434,-100.086640,3808331540.0,1037153.0
Gooseneck,Divide,31.0,42.457,0.826,48.949658,-103.651852,3802331580.0,1036931.0
Gordon,Cavalier,11.0,26.638,0.403,48.681024,-98.653205,3801931620.0,1759361.0
Grace,Grand Forks,81.0,36.379,0.017,47.801910,-97.688428,3803531700.0,1036598.0
Graf,Kidder,20.0,31.403,4.599,46.673377,-99.506838,3804331780.0,1037056.0
Grafton,Walsh,288.0,34.206,0.000,48.412415,-97.473110,3809931860.0,1036535.0
Grail,McKenzie,39.0,31.647,0.000,47.804122,-102.841792,3805331900.0,1759521.0
Grainbelt,Bowman,24.0,30.572,0.008,46.247471,-103.308195,3801131940.0,1759310.0
Grainfield,Towner,36.0,35.626,0.092,48.666559,-99.421484,3809531980.0,1759653.0
Grand Forks,Grand Forks,505.0,10.950,0.065,47.878811,-97.053463,3803532100.0,1036600.0
Grand Harbor,Ramsey,163.0,34.124,1.910,48.140191,-99.002142,3807132260.0,1759574.0
Grand Prairie,Barnes,48.0,36.194,0.000,47.109684,-97.896712,3800332340.0,1036426.0
Grand Rapids,LaMoure,90.0,35.937,0.000,46.413323,-98.347976,3804532420.0,1036898.0
Grand River,Bowman,12.0,35.924,0.008,45.996181,-103.561415,3801132460.0,1759311.0
Grand Valley,Dickey,25.0,36.045,0.163,46.069234,-98.818496,3802132500.0,1036761.0
Grandfield,Eddy,22.0,35.837,0.093,47.802941,-99.230327,3802732020.0,1759406.0
Grandview,LaMoure,45.0,35.849,0.068,46.503868,-98.337734,3804532540.0,1036899.0
Grant,Richland,102.0,33.600,1.701,46.057287,-97.218644,3807732620.0,1036824.0
Granville,McHenry,107.0,35.157,0.784,48.233663,-100.811777,3804932700.0,2397806.0
Grass Lake,Burleigh,69.0,35.462,0.568,47.204041,-100.675088,3801532740.0,1037184.0
Grassland,Renville,21.0,33.229,2.487,48.683748,-101.625466,3807532780.0,1759606.0
Gray,Stutsman,41.0,33.737,0.882,47.118150,-98.522673,3809332860.0,1036480.0
Greatstone,McLean,44.0,36.008,0.009,47.710905,-101.056823,3805532940.0,1759534.0
Greely,Ward,16.0,34.818,1.035,47.888085,-101.028456,3810132980.0,1759679.0
Green,Barnes,84.0,35.353,0.458,46.841410,-98.112755,3800333020.0,1036413.0
Greenbush,Ward,20.0,35.800,0.000,48.589999,-101.907907,3810133100.0,1759680.0
Greendale,Richland,104.0,36.211,0.060,45.971942,-96.830406,3807733140.0,1036814.0
Greene,Ransom,109.0,34.794,0.455,46.579511,-97.458626,3807333180.0,1036880.0
Greenfield,Griggs,102.0,34.910,0.000,47.283601,-98.151423,3803933260.0,1036632.0
Greenfield,Traill,72.0,35.342,0.000,47.281341,-97.260955,3809733340.0,1036684.0
Greenland,Barnes,42.0,36.167,0.000,46.674716,-98.375846,3800333380.0,1036405.0
Greenview,Steele,44.0,35.995,0.034,47.460338,-97.910531,3809133420.0,1036668.0
Greenville,LaMoure,47.0,35.871,0.091,46.420235,-98.086495,3804533460.0,1036894.0
Grenora,Williams,8.0,31.487,0.898,48.580057,-103.987275,3810533540.0,2397808.0
Grey,Cavalier,20.0,35.503,0.613,48.842876,-98.791771,3801933580.0,1759362.0
Griffin,Stutsman,51.0,35.911,0.117,46.667116,-99.123441,3809333660.0,1036448.0
Grilley,McHenry,55.0,35.928,0.098,48.509585,-100.984442,3804933700.0,1759492.0
Grover,Renville,27.0,35.829,0.006,48.853751,-101.819084,3807533740.0,1759607.0
Gunkel,Cass,43.0,36.184,0.000,47.108252,-97.133541,3801733820.0,1036384.0
