Driver,AAA (1902–1955),USAC (1956–1995),CART (1979–2003),Champ Car World Series (2004–2007),IZOD IndyCar Series (1996–present),Combined Total
A. J. Foyt Category:Articles with hCards,0.0,67.0,0.0,0.0,0.0,67.0
Mario Andretti Category:Articles with hCards,0.0,33.0,19.0,0.0,0.0,52.0
Michael Andretti Category:Articles with hCards,0.0,0.0,42.0,0.0,0.0,42.0
"Al Unser, Sr. Category:Articles with hCards",0.0,36.0,3.0,0.0,0.0,39.0
Bobby Unser Category:Articles with hCards,0.0,25.0,10.0,0.0,0.0,35.0
"Al Unser, Jr. Category:Articles with hCards",0.0,2.0,29.0,0.0,3.0,34.0
Scott Dixon Category:Articles with hCards,0.0,0.0,1.0,0.0,32.0,33.0
Paul Tracy Category:Articles with hCards,0.0,0.0,26.0,5.0,0.0,31.0
Sébastien Bourdais Category:Articles with hCards,0.0,0.0,3.0,28.0,0.0,31.0
Dario Franchitti Category:Articles with hCards,0.0,0.0,10.0,0.0,21.0,31.0
Rick Mears Category:Articles with hCards,0.0,7.0,22.0,0.0,0.0,29.0
Hélio Castroneves Category:Articles with hCards,0.0,0.0,6.0,0.0,22.0,28.0
Johnny Rutherford Category:Articles with hCards,0.0,18.0,9.0,0.0,0.0,27.0
Rodger Ward Category:Articles with hCards,2.0,24.0,0.0,0.0,0.0,26.0
Gordon Johncock Category:Articles with hCards,0.0,20.0,5.0,0.0,0.0,25.0
Ralph DePalma Category:Articles with hCards,24.0,0.0,0.0,0.0,0.0,24.0
Bobby Rahal Category:Articles with hCards,0.0,1.0,23.0,0.0,0.0,24.0
Emerson Fittipaldi Category:Articles with hCards,0.0,2.0,20.0,0.0,0.0,22.0
Tony Bettenhausen Category:Articles with hCards,19.0,3.0,0.0,0.0,0.0,22.0
Will Power Category:Articles with hCards,0.0,0.0,0.0,2.0,19.0,21.0
Earl Cooper Category:Articles with hCards,20.0,0.0,0.0,0.0,0.0,20.0
Tommy Milton Category:Articles with hCards,20.0,0.0,0.0,0.0,0.0,20.0
"Sam Hornish, Jr. Category:Articles with hCards",0.0,0.0,0.0,0.0,19.0,19.0
Ralph Mulford Category:Articles with hCards,19.0,0.0,0.0,0.0,0.0,19.0
Jimmy Bryan Category:Articles with hCards,12.0,7.0,0.0,0.0,0.0,19.0
Danny Sullivan Category:Articles with hCards,0.0,1.0,16.0,0.0,0.0,17.0
Jimmy Murphy Category:Articles with hCards,17.0,0.0,0.0,0.0,0.0,17.0
Dan Wheldon Category:Articles with hCards,0.0,0.0,0.0,0.0,16.0,16.0
Tony Kanaan Category:Articles with hCards,0.0,0.0,1.0,0.0,15.0,16.0
