Player,Years with Dodgers,Role with Dodgers,Inducted as,Year inducted
Walter Alston Category:Articles with hCards,1954–76,Manager/Coach/Scout,Manager,1983.0
Dave Bancroft Category:Articles with hCards,1928 – 29,Player,Player,1971.0
Dan Brouthers Category:Articles with hCards,1892 – 93,Player,Player,1945.0
Jim Bunning Category:Articles with hCards,1969,Player,Player,1996.0
Roy Campanella Category:Articles with hCards,1948–57,Player,Player,1969.0
Max Carey Category:Articles with hCards *,1926–29,Player,Player,1961.0
Gary Carter Category:Articles with hCards,1991,Player,Player,2003.0
Kiki Cuyler Category:Articles with hCards,1938,Player,Player,1968.0
Don Drysdale Category:Articles with hCards,1956–69,Player,Player,1984.0
Leo Durocher Category:Articles with hCards *,"1938–41, 43, 45",Player,Manager,1994.0
Burleigh Grimes Category:Articles with hCards *,1918–26,Player,Player,1964.0
Ned Hanlon Category:Articles with hCards,1899–1905,Manager/Coach/Scout,Manager,1996.0
Rickey Henderson Category:Articles with hCards,2003,Player,Player,2009.0
Billy Herman Category:Articles with hCards **,"1941–43, 46",Player,Player,1975.0
Waite Hoyt Category:Articles with hCards,"1932, 37–38",Player,Player,1969.0
Hughie Jennings Category:Articles with hCards,"1899–1900, 03",Player,Player,1945.0
Willie Keeler Category:Articles with hCards,"1893, 1899–1902",Player,Player,1939.0
Joe Kelley Category:Articles with hCards,1899–1901,Player,Player,1971.0
George Kelly Category:Articles with hCards,1932,Player,Player,1973.0
Sandy Koufax Category:Articles with hCards,1955–66,Player,Player,1972.0
Tommy Lasorda Category:Articles with hCards,1977–96,Manager/Coach/Scout,Manager,1997.0
Tony Lazzeri Category:Articles with hCards,1939,Player,Player,1991.0
Fred Lindstrom Category:Articles with hCards,1936,Player,Player,1976.0
Ernie Lombardi Category:Articles with hCards,1931,Player,Player,1986.0
Al Lopez Category:Articles with hCards,"1928, 30–35",Player,Manager,1977.0
Ted Lyons Category:Articles with hCards,1954,Manager/Coach/Scout,Player,1955.0
Larry MacPhail Category:Articles with hCards,1938–42,Executive,Executive,1978.0
Heinie Manush Category:Articles with hCards,1937–38,Player,Player,1964.0
Rabbit Maranville Category:Articles with hCards,1926,Player,Player,1954.0
Juan Marichal Category:Articles with hCards,1975,Player,Player,1983.0
Rube Marquard Category:Articles with hCards,1915–20,Player,Player,1971.0
Thomas McCarthy Category:Articles with hCards,1896,Player,Player,1946.0
Joe McGinnity Category:Articles with hCards **,1900,Player,Player,1946.0
Joe Medwick Category:Articles with hCards,"1940–43, 46",Player,Player,1968.0
Eddie Murray Category:Articles with hCards,"1989–91, 97",Player,Player,2003.0
Walter O'Malley Category:Articles with hCards,1950–79,Executive,Executive,2008.0
Pee Wee Reese Category:Articles with hCards,"1940–42, 46–58",Player,Player,1984.0
Branch Rickey Category:Articles with hCards,1942–50,Executive,Executive,1967.0
Frank Robinson Category:Articles with hCards,1972,Player,Player,1982.0
Jackie Robinson Category:Articles with hCards,1947–56,Player,Player,1962.0
Wilbert Robinson Category:Articles with hCards ***,1914–31,Manager/Coach/Scout,Manager,1945.0
Babe Ruth Category:Articles with hCards,1938,Manager/Coach/Scout,Player,1936.0
George Sisler Category:Articles with hCards,"1943, 46–50",Manager/Coach/Scout,Player,1939.0
Duke Snider Category:Articles with hCards,1947–62,Player,Player,1980.0
Casey Stengel Category:Articles with hCards *,1912–17,Player,Manager,1966.0
Don Sutton Category:Articles with hCards,"1966–80, 88",Player,Player,1998.0
Dazzy Vance Category:Articles with hCards,"1922–32, 35",Player,Player,1955.0
Arky Vaughan Category:Articles with hCards,"1942–43, 47–48",Player,Player,1985.0
Lloyd Waner Category:Articles with hCards,1944,Player,Player,1967.0
Paul Waner Category:Articles with hCards,"1941, 43–44",Player,Player,1952.0
Zack Wheat Category:Articles with hCards,1909–26,Player,Player,1959.0
Hoyt Wilhelm Category:Articles with hCards,1971–72,Player,Player,1985.0
