Series #,Season #,Title,Directed by,Written by,Original air date,U.S. viewers (in millions)
63.0,1.0,"""The (Very) Big Bird Job""",John Rogers,John Rogers,"July15,2012",3.39
64.0,2.0,"""The Blue Line Job""",Marc Roskin,M. Scott Veach & Paul Guyot,"July22,2012",2.63
65.0,3.0,"""The First Contact Job""",Jonathan Frakes,Aaron Denius Garcia,"August5,2012",2.61
66.0,4.0,"""The French Connection Job""",Tawnia McKiernan,Paul Guyot,"August12,2012",2.32
67.0,5.0,"""The Gimme a K Street Job""",Jonathan Frakes,Jeremy Bernstein,"August19,2012",2.39
68.0,6.0,"""The D.B. Cooper Job""",Marc Roskin,Chris Downey,"August26,2012",2.62
69.0,7.0,"""The Real Fake Car Job""",John Harrison,Josh Schaer,"September2,2012",2.35
70.0,8.0,"""The Broken Wing Job""",John Harrison,M. Scott Veach & Rebecca Kirsch,"September9,2012",2.19
71.0,9.0,"""The Rundown Job""",Dean Devlin,Chris Downey & Josh Schaer,"September16,2012",2.63
72.0,10.0,"""The Frame Up Job""",Marc Roskin,Geoffrey Thorne & Jeremy Bernstein,"September16,2012",2.45
73.0,11.0,"""The Low Low Price Job""",Tawnia McKiernan,Rebecca Kirsch,"November27,2012",1.91
74.0,12.0,"""The White Rabbit Job""",PJ Pesce,Geoffrey Thorne,"December4,2012",2.42
75.0,13.0,"""The Corkscrew Job""",Marc Roskin,Jenn Kao,"December11,2012",2.04
76.0,14.0,"""The Toy Job""",Jonathan Frakes,Joe Hortua,"December18,2012",2.23
