County,Obama%,Obama#,McCain%,McCain#,Others%,Others#
Appling,26.4%,1846.0,72.6%,5085.0,1.0%,71.0
Atkinson,32.3%,938.0,66.8%,1941.0,1.0%,28.0
Bacon,20.7%,817.0,78.4%,3089.0,0.9%,36.0
Baker,50.1%,846.0,49.0%,828.0,0.9%,15.0
Baldwin,51.8%,8587.0,47.2%,7823.0,0.9%,154.0
Banks,16.4%,1027.0,81.9%,5120.0,1.6%,102.0
Barrow,27.0%,6657.0,71.6%,17625.0,1.4%,351.0
Bartow,26.7%,9962.0,71.8%,25976.0,1.5%,537.0
Ben Hill,42.8%,2590.0,56.5%,3417.0,0.7%,45.0
Berrien,22.8%,1471.0,75.9%,4901.0,1.3%,81.0
Bibb,58.7%,38987.0,40.7%,27037.0,0.6%,424.0
Bleckley,27.1%,1380.0,71.9%,3657.0,0.9%,47.0
Brantley,17.8%,1119.0,80.8%,5080.0,1.4%,89.0
Brooks,43.0%,2669.0,56.5%,3507.0,0.5%,29.0
Bryan,28.3%,3636.0,70.8%,9112.0,0.9%,119.0
Bulloch,40.0%,9586.0,59.1%,14174.0,0.9%,216.0
Burke,54.3%,5233.0,45.1%,4344.0,0.6%,60.0
Butts,33.7%,3065.0,65.3%,5947.0,1.0%,92.0
Calhoun,60.7%,1342.0,39.0%,862.0,0.4%,8.0
Camden,37.9%,6482.0,61.4%,10502.0,0.7%,124.0
Candler,34.3%,1209.0,64.9%,2286.0,0.8%,27.0
Carroll,33.0%,14334.0,66.0%,28661.0,1.0%,448.0
Catoosa,24.5%,6025.0,74.0%,18218.0,1.5%,362.0
Charlton,32.4%,1197.0,66.7%,2466.0,0.9%,34.0
Chatham,56.8%,62755.0,42.4%,46829.0,0.8%,858.0
Chattahoochee,50.1%,830.0,49.0%,811.0,0.9%,15.0
Chattooga,31.1%,2596.0,66.8%,5572.0,2.0%,169.0
Cherokee,23.8%,22350.0,74.8%,70279.0,1.4%,1349.0
Clarke,64.8%,29591.0,33.6%,15333.0,1.6%,742.0
Clay,61.0%,879.0,38.8%,558.0,0.2%,3.0
Clayton,82.9%,82527.0,16.6%,16506.0,0.5%,481.0
Clinch,36.6%,989.0,62.1%,1678.0,1.3%,35.0
Cobb,44.7%,141216.0,54.1%,170957.0,1.2%,3951.0
Coffee,35.0%,4811.0,64.5%,8872.0,0.5%,75.0
Colquitt,30.8%,4139.0,68.3%,9185.0,1.9%,130.0
Columbia,28.3%,15703.0,70.9%,39322.0,0.8%,441.0
Cook,35.1%,2075.0,63.6%,3782.0,0.5%,52.0
Coweta,28.9%,15521.0,70.0%,37571.0,1.0%,543.0
Crawford,34.9%,1832.0,64.0%,3358.0,1.1%,58.0
Crisp,40.8%,3085.0,58.6%,4424.0,0.6%,45.0
Dade,25.0%,1612.0,73.0%,4703.0,2.0%,127.0
Dawson,16.3%,1632.0,82.5%,8242.0,1.1%,112.0
Decatur,42.6%,4424.0,56.7%,5890.0,0.7%,71.0
DeKalb,78.9%,254594.0,20.3%,65581.0,0.8%,2671.0
Dodge,31.6%,2595.0,67.4%,5543.0,1.0%,86.0
