Recipient,First place(s),Second place(s),Third place(s),Total placings(s)
Nigel Mansell Category:Articles with hCards,2.0,0.0,1.0,3.0
Henry Cooper Category:Articles with hCards,2.0,0.0,0.0,2.0
Damon Hill Category:Articles with hCards,2.0,0.0,0.0,2.0
Steve Davis Category:Articles with hCards,1.0,2.0,2.0,5.0
Ian Botham Category:Articles with hCards,1.0,2.0,1.0,4.0
Sebastian Coe Category:Articles with hCards,1.0,2.0,1.0,4.0
David Beckham Category:Articles with hCards,1.0,2.0,0.0,3.0
Daley Thompson Category:Articles with hCards,1.0,1.0,2.0,4.0
Steve Redgrave Category:Articles with hCards,1.0,1.0,1.0,3.0
Linford Christie Category:Articles with hCards,1.0,1.0,0.0,2.0
Dorothy Hyman Category:Articles with hCards,1.0,1.0,0.0,2.0
Torvill and Dean,1.0,1.0,0.0,2.0
Fatima Whitbread Category:Articles with hCards,1.0,1.0,0.0,2.0
Steve Cram Category:Articles with hCards,1.0,0.0,2.0,3.0
Ian Black Category:Articles with hCards,1.0,0.0,1.0,2.0
Andrew Flintoff Category:Articles with hCards,1.0,0.0,1.0,2.0
Anita Lonsbrough Category:Articles with hCards,1.0,0.0,1.0,2.0
Bobby Moore Category:Articles with hCards,1.0,0.0,1.0,2.0
Michael Owen Category:Articles with hCards,1.0,0.0,1.0,2.0
Paula Radcliffe Category:Articles with hCards,1.0,0.0,1.0,2.0
Tony McCoy Category:Articles with hCards,1.0,0.0,1.0,2.0
Sally Gunnell Category:Articles with hCards,0.0,2.0,1.0,3.0
Barry Briggs Category:Articles with hCards,0.0,2.0,0.0,2.0
Frank Bruno Category:Articles with hCards,0.0,2.0,0.0,2.0
Darren Clarke Category:Articles with hCards,0.0,2.0,0.0,2.0
Bobby Charlton Category:Articles with hCards,0.0,2.0,0.0,2.0
Lewis Hamilton Category:Articles with hCards,0.0,2.0,0.0,2.0
Tony Jacklin Category:Articles with hCards,0.0,2.0,0.0,2.0
Denise Lewis Category:Articles with hCards,0.0,2.0,0.0,2.0
Ellen MacArthur Category:Articles with hCards,0.0,2.0,0.0,2.0
Jessica Ennis Category:Articles with hCards,0.0,1.0,2.0,3.0
George Best Category:Articles with hCards,0.0,1.0,1.0,2.0
Jim Clark Category:Articles with hCards,0.0,1.0,1.0,2.0
Marion Coakes Category:Articles with hCards,0.0,0.0,2.0,2.0
Colin Jackson Category:Articles with hCards,0.0,0.0,2.0,2.0
