Sd,Player,Points,Points defending,Points won,New points,Status
2.0,Dinara Safina,7600.0,1400.0,280.0,6480.0,Retired in 4th round to Maria Kirilenko
3.0,Svetlana Kuznetsova,6081.0,500.0,280.0,5861.0,4th round lost to Nadia Petrova [19]
4.0,Caroline Wozniacki,5785.0,160.0,280.0,5905.0,4th round lost to Li Na [16]
5.0,Elena Dementieva,5505.0,900.0,100.0,4705.0,2nd round lost to Justine Henin [WC]
6.0,Venus Williams,5126.0,100.0,500.0,5526.0,Quarterfinal lost to Li Na [16]
7.0,Victoria Azarenka,4740.0,280.0,500.0,4960.0,Quarterfinal lost to Serena Williams [1]
8.0,Jelena Janković,3965.0,280.0,160.0,3845.0,3rd round lost to Alyona Bondarenko [31]
9.0,Vera Zvonareva,3560.0,900.0,280.0,2940.0,4th round lost to Victoria Azarenka [7]
10.0,Agnieszka Radwańska,3450.0,5.0,160.0,3605.0,3rd round lost to Francesca Schiavone [17]
11.0,Marion Bartoli,3325.0,500.0,160.0,2985.0,3rd round lost Zheng Jie
12.0,Flavia Pennetta,3200.0,160.0,100.0,3140.0,2nd round lost to Yanina Wickmayer [Q]
13.0,Samantha Stosur,3045.0,160.0,280.0,3165.0,4th round lost to Serena Williams [1]
14.0,Maria Sharapova,2820.0,0.0,5.0,2825.0,1st round lost to Maria Kirilenko
15.0,Kim Clijsters,2620.0,0.0,160.0,2780.0,3rd round lost Nadia Petrova [19]
16.0,Li Na,2541.0,0.0,900.0,3441.0,Semifinal lost to Serena Williams [1]
17.0,Francesca Schiavone,2445.0,5.0,280.0,2720.0,4th round lost to Venus Williams [6]
18.0,Virginie Razzano,2200.0,160.0,5.0,2045.0,1st round lost to Ekaterina Makarova
19.0,Nadia Petrova,2220.0,280.0,500.0,2440.0,Quarterfinal lost to Justine Henin [WC]
20.0,Ana Ivanovic,2127.0,160.0,100.0,2067.0,2nd round lost to Gisela Dulko
21.0,Sabine Lisicki,2035.0,100.0,100.0,2035.0,2nd round lost to Alberta Brianti
22.0,Daniela Hantuchová,1985.0,160.0,160.0,1985.0,3rd round lost to Li Na [16]
23.0,Dominika Cibulková,2063.0,280.0,5.0,1788.0,1st round lost Vania King
24.0,María José Martínez Sánchez,1970.0,160.0,100.0,1910.0,2nd round lost to Zheng Jie
25.0,Anabel Medina Garrigues,1980.0,280.0,5.0,1705.0,1st round lost to Karolina Šprem
26.0,Aravane Rezaï,2055.0,5.0,100.0,2150.0,2nd round lost to Angelique Kerber [Q]
27.0,Alisa Kleybanova,1870.0,280.0,160.0,1750.0,3rd round lost Justine Henin [WC]
28.0,Elena Vesnina,1900.0,5.0,5.0,1900.0,1st round lost to Tathiana Garbin
29.0,Shahar Pe'er,1930.0,5.0,160.0,2085.0,3rd round lost to Caroline Wozniacki [4]
30.0,Kateryna Bondarenko,1740.0,160.0,100.0,1680.0,2nd round lost to Elena Baltacha
31.0,Alyona Bondarenko,1900.0,160.0,280.0,2020.0,4th round lost to Zheng Jie
