Party Name,States contested,Seats contested,Seats won,No. of Votes,% of Votes,% in Seats contested,Forfeited in seats
Indian National Congress,33.0,400.0,145.0,103408949.0,26.53%,34.43%,82.0
Bharatiya Janata Party,31.0,364.0,138.0,86371561.0,22.16%,34.39%,57.0
Communist Party of India (Marxist),19.0,69.0,43.0,22070614.0,5.66%,42.31%,15.0
Bahujan Samaj Party,25.0,435.0,19.0,20765229.0,5.33%,6.66%,358.0
Samajwadi Party,23.0,237.0,36.0,16824072.0,4.32%,10.26%,169.0
Telugu Desam Party,1.0,33.0,5.0,11844811.0,3.04%,42.75%,0.0
Rashtriya Janata Dal,6.0,42.0,24.0,9384147.0,2.41%,31.27%,14.0
Janata Dal (United),16.0,73.0,8.0,9144963.0,2.35%,17.73%,44.0
All India Anna Dravida Munnetra Kazhagam,1.0,33.0,0.0,8547014.0,2.19%,35.59%,0.0
Nationalist Trinamool Congress,5.0,33.0,2.0,8071867.0,2.07%,29.97%,7.0
Dravida Munnetra Kazhagam,1.0,16.0,16.0,7064393.0,1.81%,58.24%,0.0
Shiv Sena,14.0,56.0,12.0,7056255.0,1.81%,17.90%,34.0
Nationalist Congress Party,11.0,32.0,9.0,7023175.0,1.80%,33.98%,10.0
Janata Dal (Secular),12.0,43.0,3.0,5732296.0,1.47%,15.67%,24.0
Communist Party of India,15.0,34.0,10.0,5484111.0,1.41%,23.70%,19.0
Biju Janata Dal,1.0,12.0,11.0,5082849.0,1.30%,51.15%,0.0
Shiromani Akali Dal,1.0,10.0,8.0,3506681.0,0.90%,43.42%,0.0
Lok Jan Shakti Party,12.0,40.0,4.0,2771427.0,0.71%,10.02%,32.0
Rashtriya Lok Dal,11.0,32.0,3.0,2463607.0,0.63%,11.08%,23.0
Telangana Rashtra Samithi,1.0,8.0,5.0,2441405.0,0.63%,13.19%,0.0
Pattali Makkal Katchi,2.0,6.0,6.0,2169020.0,0.56%,51.66%,0.0
Asom Gana Parishad,1.0,12.0,2.0,2069600.0,0.53%,23.53%,4.0
Indian National Lok Dal,4.0,20.0,0.0,1936703.0,0.50%,12.60%,14.0
Jharkhand Mukti Morcha,4.0,9.0,5.0,1846843.0,0.47%,28.43%,3.0
Revolutionary Socialist Party,3.0,6.0,3.0,1689794.0,0.43%,33.50%,2.0
Marumaralarchi Dravida Munnetra Kazhagam,1.0,4.0,4.0,1679870.0,0.43%,58.23%,0.0
All India Forward Bloc,5.0,10.0,3.0,1365055.0,0.35%,18.81%,7.0
Apna Dal,7.0,86.0,0.0,844053.0,0.22%,1.48%,86.0
Indian Union Muslim League,6.0,10.0,1.0,770098.0,0.20%,9.61%,8.0
