Constituency,Winner,Party,Margin,Runner-up a,Party a
Madras North,Krishnan Manoharan,DMK,61334.0,S. C. C. A. Pillai,INC
Madras South,C. N. Annadurai,DMK,81978.0,K. Gurumurti,INC
Sriperumbudur (SC),P. Sivasankaran,DMK,101765.0,K. Sambandan,INC
Chengalpattu,C. Chitti Babu,DMK,105731.0,O. V. Alagesan,INC
Tiruttani,S. K. Sambandhan,DMK,75549.0,A. Krishnaswamy,INC
Vellore (SC),Kuchelar,DMK,69732.0,A. Jayaraman,INC
Tiruppattur,R. Muthu Gounder,DMK,29231.0,T. A. Wahid,INC
Vandavasi,G. Viswanathan,DMK,80659.0,M. K. Gounder,INC
Tindivanam,T. D. R. Naidu,DMK,32070.0,Lakshmi Narayanan,INC
Cuddalore,V. K. Gounder,DMK,47973.0,S. Radhakrishnan,INC
Chidambaram (SC),V. Mayavan,DMK,17429.0,L. Elaya Perumal,INC
Kallakurichi,M. Deiveekan,DMK,26523.0,K. Parthasarathy,INC
Krishnagiri,M. Kamalanathan,DMK,18294.0,T. S. Pattabiraman,INC
Salem,K. Rajaram,DMK,63509.0,R. Ramakrishnan,INC
Mettur,S. Kandappan,DMK,56845.0,G. Venkataraman,INC
Tiruchengode,K. Anbazhagan,DMK,48251.0,T. M. Kaliannan,INC
Nilgiris,M. K. N. Gounder,SWA,19702.0,A. Devi,INC
Coimbatore,K. Ramani,CPM,65921.0,N. Mahalingam,INC
Pollachi,Narayanan,DMK,81754.0,S. K. Paramasivam,INC
Dharapuram (SC),C. T. Dhandapani,DMK,110866.0,S. R. Arumugam,INC
Gobichettipalayam,P. A. Saminathan,DMK,48945.0,C. Subramaniam,INC
Periyakulam,H. Ajmal Khan,SWA,27621.0,M. Ibrahim,INC
Dindigul,N. Anbuchezhian,DMK,103346.0,T. S. Soundram,INC
Madurai,P. Ramamurti,CPM,105468.0,S. C. Thevar,INC
Karur,M. Gounder,SWA,23718.0,R. Chettiar,INC
Tiruchirappalli,K. A. Nambiar,CPM,2545.0,V. A. Muthiah,INC
Perambalur (SC),A. Durairaju,DMK,33828.0,P. K. Ramaswamy,INC
Pudukkottai,R. Umanath,CPM,9382.0,A. N. Chettiar,INC
Kumbakonam,S. Era,DMK,20039.0,C. R. P. Raman,INC
Mayuram (SC),K. Subravelu,DMK,52044.0,Maragatham Chandrasekhar,INC
Nagapattinam,V. Sambasivam,INC,11219.0,V. P. Chintan,CPM
Thanjavur,D. S. Gopalar,DMK,22574.0,R. Venkataraman,INC
Sivaganga,Tha. Kiruttinan,DMK,58217.0,Subramanian,INC
Ramanathapuram,M. Sheriff,IND/ ML,32025.0,S. Balakrishnan,INC
Sivakasi,P. Ramamoorthy,SWA,31672.0,P. A. Nadar,INC
Tirunelveli,S. Xavier,SWA,41991.0,A. P. C. Veerabahu,INC
Tenkasi (SC),R. S. Arumugam,INC,5746.0,Velu,SWA
Tiruchendur,Santhosam,SWA,394.0,K. T. Kosalram,INC
