R,Player,Position,League,Champions League,Coppa Italia,Super Coppa,Total
1.0,Milito,CF,22.0,6.0,2.0,0.0,30.0
2.0,Eto'o,CF,12.0,2.0,1.0,1.0,16.0
3.0,Balotelli,WF,9.0,1.0,1.0,0.0,11.0
4.0,Sneijder,AM,4.0,3.0,1.0,0.0,8.0
5.0,Maicon,RB,6.0,1.0,0.0,0.0,7.0
6.0,Stanković,CM,3.0,2.0,0.0,0.0,5.0
7.0,Motta,DM,4.0,0.0,0.0,0.0,4.0
7.0,Cambiasso,DM,3.0,1.0,0.0,0.0,4.0
7.0,Samuel,CB,3.0,1.0,0.0,0.0,4.0
10.0,Pandev,WF,3.0,0.0,0.0,0.0,3.0
11.0,Lúcio,CB,1.0,0.0,1.0,0.0,2.0
12.0,Chivu,LB,1.0,0.0,0.0,0.0,1.0
12.0,Mariga,CM,1.0,0.0,0.0,0.0,1.0
12.0,Muntari,CM,1.0,0.0,0.0,0.0,1.0
12.0,Vieira,CM,1.0,0.0,0.0,0.0,1.0
