Club,Location,Manager,Stadium,Capacity,Team captain
Beroe,Stara Zagora,Ilian Iliev Category:Articles with hCards,Beroe,17800.0,Slavi Zhekov
Botev,Plovdiv,Enrico Piccioni Category:Articles with hCards,Hristo Botev (Plovdiv),21000.0,Vasil Vasilev
Cherno More,Varna,Velizar Popov Category:Articles with hCards,Ticha,12500.0,Georgi Iliev
Chernomorets,Burgas,Krassimir Balakov Category:Articles with hCards,Lazur,18037.0,Cvetomir Conkov
CSKA,Sofia,Pavel Dochev Category:Articles with hCards,Bulgarian Army,22015.0,Todor Yanchev
Levski,Sofia,Georgi Ivanov Category:Articles with hCards,Georgi Asparuhov,29200.0,Georgi Petkov
Litex,Lovech,Angel Chervenkov Category:Articles with hCards,Gradski Stadion,7050.0,Ivelin Popov
Lokomotiv Mezdra,Mezdra,Voyn Voynov Category:Articles with hCards,Lokomotiv (Mezdra),5000.0,Strati Iliev
Lokomotiv Plovdiv,Plovdiv,Hristo Bonev Category:Articles with hCards,Lokomotiv (Plovdiv),13800.0,Georgi Mechedzhiev
Lokomotiv Sofia,Sofia,Dimitar Vasev Category:Articles with hCards,Lokomotiv (Sofia),22000.0,Georgi Markov
Minyor,Pernik,Anton Velkov Category:Articles with hCards,Minyor,12000.0,Ivaylo Ivanov
Montana,Montana,Atanas Dzhambazki Category:Articles with hCards,Ogosta,8000.0,Ventsislav Ivanov
Sliven 2000,Sliven,Dragoljub Simonović Category:Articles with hCards,Hadzhi Dimitar,15000.0,Miroslav Mindev
Pirin,Blagoevgrad,Stefan Grozdanov Category:Articles with hCards,Hristo Botev (Blagoevgrad),11000.0,Georgi Georgiev
Slavia,Sofia,Velislav Vutsov Category:Articles with hCards,Ovcha Kupel,18000.0,Yordan Petkov
