Seed,Rank,Player,Points,Points defending,Points won,New points,Status
1.0,2.0,Caroline Wozniacki,6410.0,1400.0,900.0,5910.0,Semifinals lost to Vera Zvonareva [7]
3.0,4.0,Venus Williams,5176.0,280.0,900.0,5796.0,Semifinals lost to Kim Clijsters [2]
4.0,5.0,Jelena Janković,5145.0,100.0,160.0,5205.0,3rd round lost to Kaia Kanepi [31]
5.0,6.0,Samantha Stosur,4550.0,100.0,500.0,4950.0,Quarterfinals lost to Kim Clijsters [2]
6.0,7.0,Francesca Schiavone,4450.0,280.0,500.0,4670.0,Quarterfinals lost to Venus Williams [3]
8.0,9.0,Li Na,4015.0,500.0,5.0,3520.0,1st round lost to Kateryna Bondarenko
9.0,10.0,Agnieszka Radwańska,3995.0,100.0,100.0,3995.0,2nd round lost to Peng Shuai
10.0,11.0,Victoria Azarenka,3775.0,160.0,100.0,3715.0,2nd round retired to Gisela Dulko
11.0,12.0,Svetlana Kuznetsova,3516.0,280.0,280.0,3516.0,4th round lost to Dominika Cibulková
12.0,13.0,Elena Dementieva,3765.0,100.0,280.0,3945.0,4th round lost to Samantha Stosur [5]
13.0,15.0,Marion Bartoli,3455.0,100.0,100.0,3455.0,2nd round lost to Virginie Razzano
14.0,16.0,Maria Sharapova,3330.0,160.0,280.0,3450.0,4th round lost to Caroline Wozniacki [1]
15.0,17.0,Yanina Wickmayer,3310.0,900.0,280.0,2690.0,4th round lost to Kaia Kanepi [31]
16.0,18.0,Shahar Pe'er,3175.0,160.0,280.0,3295.0,4th round lost to Venus Williams [3]
17.0,19.0,Nadia Petrova,3345.0,280.0,5.0,3070.0,1st round lost to Andrea Petkovic
18.0,20.0,Aravane Rezaï,3005.0,5.0,100.0,3100.0,2nd round lost to Beatrice Capra [WC]
19.0,21.0,Flavia Pennetta,2905.0,500.0,160.0,2565.0,3rd round lost to Shahar Pe'er [16]
20.0,22.0,Anastasia Pavlyuchenkova,2505.0,5.0,280.0,2780.0,4th round lost to Francesca Schiavone [6]
21.0,23.0,Zheng Jie,2351.0,160.0,100.0,2291.0,2nd round lost to Ana Ivanovic
22.0,24.0,María José Martínez Sánchez,2285.0,160.0,100.0,2225.0,2nd round lost to Patty Schnyder
23.0,25.0,Maria Kirilenko,2275.0,160.0,160.0,2275.0,3rd round lost to Svetlana Kuznetsova [11]
24.0,26.0,Daniela Hantuchová,2045.0,280.0,160.0,1925.0,3rd round lost to Elena Dementieva [12]
25.0,27.0,Alexandra Dulgheru,2005.0,5.0,160.0,2160.0,3rd round lost to Vera Zvonareva [7]
26.0,28.0,Lucie Šafářová,1975.0,5.0,5.0,1975.0,1st round lost to Tamira Paszek [Q]
27.0,29.0,Petra Kvitová,1869.0,280.0,160.0,1749.0,3rd round lost to Kim Clijsters [2]
28.0,30.0,Alisa Kleybanova,1840.0,5.0,100.0,1935.0,2nd round lost to Sara Errani
29.0,31.0,Alona Bondarenko,1723.0,100.0,160.0,1783.0,3rd round lost to Francesca Schiavone [6]
30.0,32.0,Yaroslava Shvedova,1770.0,160.0,5.0,1615.0,1st round lost to Lourdes Domínguez Lino [Q]
31.0,33.0,Kaia Kanepi,1725.0,5.0,500.0,2220.0,Quarterfinals lost to Vera Zvonareva [7]
