No. in series,No. in season,Title,Directed by,Written by,Original air date,Production code
21.0,1.0,"""The Drake & Josh Inn""",Adam Weissman,Jake Farrow,"April2,2005",305.0
22.0,2.0,"""Peruvian Puff Pepper""",Steve Hoefer,Steve Holland,"April9,2005",301.0
23.0,3.0,"""We're Married?""",Steve Hoefer,George Doty IV,"April16,2005",302.0
24.0,4.0,"""Mindy's Back""",Adam Weissman,Eric Friedman,"April30,2005",303.0
25.0,5.0,"""The Affair""",Adam Weissman,Anthony Del Broccolo,"May21,2005",304.0
26.0,6.0,"""Playing the Field""",Roger Christiansen,Dan Schneider,"June4,2005",306.0
27.0,7.0,"""Helen's Surgery""",Adam Weissman,George Doty IV,"June11,2005",307.0
28.0,8.0,"""Paging Dr. Drake""",Steve Hoefer,Anthony Del Broccolo,"October1,2005",309.0
29.0,9.0,"""Foam Finger""",Roger Christiansen,Dan Schneider,"October8,2005",308.0
30.0,10.0,"""Girl Power""",Steve Hoefer,Jake Farrow,"October15,2005",311.0
31.0,11.0,"""Sheep Thrills""",Steve Hoefer,Eric Friedman,"October22,2005",310.0
35.0,15.0,"""Megan's New Teacher""",Adam Weissman,George Doty IV,"January28,2006",313.0
36.0,16.0,"""Little Sibling""",Steve Hoefer,Dan Schneider,"February4,2006",312.0
37.0,17.0,"""Theater Thug""",Roger Christiansen,Dan Schneider,"February18,2006",314.0
38.0,18.0,"""The Demonator""",Steve Hoefer,Anthony Del Broccolo & Eric Friedman,"February25,2006",315.0
39.0,19.0,"""Alien Invasion""",Will Bardelli,Steve Holland,"March18,2006",316.0
