Saddle cloth,Horse,Trainer,Jockey,Weight (kg),Barrier [b ],Placing
1.0,Viewed,Bart Cummings,Brad Rawiller,58.0,9.0,7
2.0,C'est La Guerre (NZ),John Sadler (NZ),Nicholas Hall,55.5,7.0,8
3.0,Fiumicino(NZ),"M,W & J Hawkes",Steven King,55.5,24.0,22
4.0,Master O'Reilly (NZ),Danny O'Brien,Vlad Duric,55.0,16.0,4
5.0,Mourilyan(IRE),Herman Brown ( RSA ),Glyn Schofield,54.5,14.0,3
6.0,Roman Emperor(NZ),Bart Cummings,Hugh Bowman,54.0,15.0,21
7.0,Ista Kareem(NZ),Colin Little,Luke Nolen,53.5,23.0,15
8.0,Crime Scene(IRE),Saeed bin Suroor ( UAE ),Kerrin McEvoy,53.0,11.0,2
9.0,Munsef(GB),Ian Williams,Zac Purton,53.0,5.0,12
10.0,Zavite(NZ),Anthony Cummings,Mark Zahra,53.0,3.0,19
11.0,Alcopop,Jake Stephens,Dom Tournuer,52.5,12.0,6
12.0,Harris Tweed(NZ),Murray & Bjorn Baker,Craig Newitt,52.5,20.0,5
13.0,Kibbutz(NZ),Jarrod McLean,Chris Symons,52.5,8.0,9
14.0,Newport,Paul Perry,Peter Wells,52.5,18.0,10
15.0,Warringah(GB),Chris Waller,Damien Oliver,52.5,8.0,23
16.0,Gallions Reach(NZ),Richard Yuill,Dwayne Dunn,52.0,6.0,13
17.0,Spin Around,Steven Cooper (NZ),Mark Du Plessis,52.0,4.0,20
18.0,Basaltico(IRE),Luca Cumani (GB),Danny Nikolic,51.5,10.0,18
19.0,Capecover(NZ),Alexander R Fieldes,Noel Harris,51.5,19.0,17
20.0,Daffodil(NZ),Kevin Gray,Chris Munce,51.5,21.0,11
21.0,Shocking,Mark Kavanagh,Corey Brown,51.0,22.0,1
22.0,Allez Wonder,Bart Cummings,Michelle Payne,50.5,13.0,16
23.0,Changingoftheguard(IRE),David A. Hayes,Glen Boss,50.5,1.0,SCR
