Rank,WS Points,Name,Country,09-10 I/O best,09-10 GP/JGP best,09-10 GP/JGP 2nd,09-10 OI best,09-10 OI 2nd,08-09 I/O best,08-09 GP/JGP best,08-09 GP/JGP 2nd,08-09 OI best,08-09 OI 2nd
1.0,4024.0,Yu-Na Kim,South Korea,1200.0,800.0,400.0,0.0,0.0,840.0,504.0,280.0,0.0,0.0
2.0,3341.0,Joannie Rochette,Canada,972.0,525.0,400.0,0.0,0.0,756.0,408.0,280.0,0.0,0.0
3.0,3275.0,Mao Asada,Japan,1200.0,360.0,262.0,0.0,0.0,613.0,560.0,280.0,0.0,0.0
4.0,3257.0,Miki Ando,Japan,875.0,720.0,400.0,0.0,0.0,680.0,330.0,252.0,0.0,0.0
5.0,3097.0,Laura Lepistö,Finland,972.0,324.0,262.0,225.0,0.0,588.0,227.0,183.0,158.0,158.0
6.0,3000.0,Carolina Kostner,Italy,840.0,236.0,236.0,250.0,0.0,529.0,454.0,280.0,175.0,0.0
7.0,2904.0,Akiko Suzuki,Japan,756.0,648.0,400.0,250.0,0.0,281.0,252.0,0.0,175.0,142.0
8.0,2590.0,Alena Leonova,Russia,517.0,472.0,360.0,250.0,0.0,501.0,183.0,149.0,158.0,0.0
9.0,2297.0,Rachael Flatt,USA,638.0,360.0,292.0,0.0,0.0,551.0,252.0,204.0,0.0,0.0
10.0,2296.0,Kanako Murakami,Japan,715.0,600.0,250.0,250.0,0.0,0.0,306.0,175.0,0.0,0.0
11.0,2024.0,Caroline Zhang,USA,680.0,292.0,191.0,0.0,0.0,451.0,227.0,183.0,0.0,0.0
12.0,1977.0,Kiira Korpi,Finland,612.0,360.0,191.0,225.0,203.0,386.0,0.0,0.0,0.0,0.0
13.0,1906.0,Elene Gedevanishvili,Georgia,680.0,236.0,213.0,0.0,0.0,326.0,149.0,0.0,175.0,127.0
14.0,1905.0,Cynthia Phaneuf,Canada,787.0,236.0,213.0,0.0,0.0,386.0,149.0,134.0,0.0,0.0
15.0,1801.0,Alissa Czisny,USA,0.0,360.0,292.0,250.0,0.0,293.0,227.0,204.0,175.0,0.0
16.0,1756.0,Ashley Wagner,USA,0.0,583.0,360.0,0.0,0.0,405.0,204.0,204.0,0.0,0.0
17.0,1746.0,Mirai Nagasu,USA,875.0,292.0,262.0,0.0,0.0,0.0,183.0,134.0,0.0,0.0
18.0,1740.0,Ksenia Makarova,Russia,574.0,437.0,225.0,250.0,0.0,0.0,127.0,127.0,0.0,0.0
19.0,1586.0,Joshi Helgesson,Sweden,308.0,0.0,0.0,225.0,203.0,365.0,93.0,76.0,158.0,158.0
20.0,1534.0,Jenna McCorkell,United Kingdom,305.0,191.0,0.0,203.0,164.0,253.0,149.0,0.0,142.0,127.0
21.0,1408.0,Sarah Hecken,Germany,377.0,191.0,0.0,0.0,0.0,266.0,142.0,115.0,175.0,142.0
22.0,1404.0,Jelena Glebova,Estonia,325.0,262.0,0.0,182.0,0.0,185.0,165.0,0.0,158.0,127.0
23.0,1399.0,Haruka Imai,Japan,551.0,203.0,0.0,203.0,164.0,103.0,175.0,0.0,0.0,0.0
24.0,1386.0,Fumie Suguri,Japan,0.0,292.0,213.0,0.0,0.0,402.0,252.0,227.0,0.0,0.0
25.0,1311.0,Polina Shelepen,Russia,521.0,540.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,1278.0,Viktoria Helgesson,Sweden,465.0,0.0,0.0,250.0,164.0,109.0,0.0,0.0,175.0,115.0
27.0,1220.0,Sarah Meier,Switzerland,551.0,0.0,0.0,0.0,0.0,362.0,165.0,0.0,142.0,0.0
28.0,1213.0,Amanda Dobbs,USA,612.0,0.0,0.0,203.0,0.0,0.0,223.0,175.0,0.0,0.0
29.0,1139.0,Alexe Gilles,USA,362.0,262.0,0.0,0.0,0.0,0.0,340.0,175.0,0.0,0.0
30.0,1123.0,Amélie Lacoste,Canada,446.0,236.0,213.0,0.0,0.0,228.0,0.0,0.0,0.0,0.0
31.0,1088.0,Anna Ovcharova,Russia,469.0,394.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,1052.0,Valentina Marchei,Italy,402.0,0.0,0.0,250.0,225.0,0.0,0.0,0.0,175.0,0.0
33.0,1041.0,Ivana Reitmayerova,Slovakia,192.0,97.0,0.0,0.0,0.0,239.0,104.0,76.0,175.0,158.0
34.0,1031.0,Christina Gao,USA,342.0,486.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,1016.0,Diane Szmiett,Canada,325.0,191.0,0.0,0.0,0.0,141.0,201.0,158.0,0.0,0.0
36.0,1013.0,Angela Maxwell,USA,0.0,354.0,225.0,0.0,0.0,0.0,276.0,158.0,0.0,0.0
37.0,960.0,Yukiko Fujisawa,Japan,0.0,182.0,0.0,225.0,0.0,0.0,378.0,175.0,0.0,0.0
38.0,949.0,Kiri Baga,USA,380.0,319.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.0,930.0,Polina Agafonova,Russia,579.0,203.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,885.0,Yan Liu,China,264.0,213.0,0.0,203.0,0.0,205.0,0.0,0.0,0.0,0.0
41.0,832.0,Tuğba Karademir,Turkey,264.0,0.0,0.0,182.0,0.0,228.0,0.0,0.0,158.0,0.0
42.0,775.0,Katarina Gerboldt,Russia,0.0,0.0,0.0,225.0,203.0,347.0,0.0,0.0,0.0,0.0
43.0,770.0,Kristine Musademba,USA,0.0,250.0,97.0,0.0,0.0,0.0,248.0,175.0,0.0,0.0
44.0,767.0,Kate Charbonneau,Canada,422.0,225.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.0,708.0,Na-Young Kim,South Korea,192.0,0.0,0.0,203.0,0.0,155.0,0.0,0.0,158.0,0.0
46.0,707.0,Stefania Berton,Italy,0.0,0.0,0.0,0.0,0.0,121.0,142.0,127.0,175.0,142.0
47.0,695.0,Oksana Gozeva,Russia,237.0,0.0,0.0,0.0,0.0,216.0,158.0,84.0,0.0,0.0
48.0,693.0,Min-Jung Kwak,South Korea,496.0,0.0,0.0,0.0,0.0,55.0,142.0,0.0,0.0,0.0
49.0,645.0,Annette Dytrt,Germany,0.0,191.0,0.0,0.0,0.0,312.0,0.0,0.0,142.0,0.0
