Player,Minutes,Field Goals,Rebounds,Assists,Steals,Blocks,Points
Sheri Sam,1100.0,180.0,137.0,88.0,55.0,8.0,444.0
Elena Baranova,984.0,141.0,191.0,63.0,33.0,57.0,378.0
Sandy Brondello,850.0,142.0,50.0,63.0,27.0,4.0,367.0
Ruth Riley,799.0,77.0,130.0,26.0,25.0,46.0,218.0
Debbie Black,946.0,70.0,126.0,123.0,82.0,2.0,180.0
Tracy Reid,278.0,32.0,37.0,13.0,15.0,5.0,80.0
Kristen Rasmussen,416.0,31.0,88.0,16.0,11.0,14.0,75.0
Marlies Askamp,431.0,28.0,87.0,15.0,12.0,11.0,74.0
Kisha Ford,395.0,26.0,65.0,21.0,17.0,5.0,71.0
Marla Brumfield,247.0,17.0,25.0,32.0,20.0,0.0,44.0
Katrina Colleton,121.0,10.0,7.0,7.0,2.0,1.0,26.0
