Player,Touchdowns,Extra points,Field goals,Safeties,Points
Bennie Oosterbaan,8.0,0.0,0.0,0.0,48.0
Benny Friedman,3.0,22.0,2.0,0.0,46.0
Bo Molenda,6.0,0.0,0.0,0.0,36.0
Bruce Gregory,5.0,0.0,0.0,0.0,30.0
Louis Gilbert,3.0,2.0,0.0,0.0,20.0
William Flora,2.0,0.0,0.0,0.0,12.0
James Miller,1.0,1.0,0.0,0.0,7.0
George Babcock,1.0,0.0,0.0,0.0,6.0
Sam Babcock,1.0,0.0,0.0,0.0,6.0
William Herrnstein,1.0,0.0,0.0,0.0,6.0
Leo Hoffman,1.0,0.0,0.0,0.0,6.0
Frederic Fuller,0.0,1.0,0.0,0.0,1.0
Carl Stamman,0.0,1.0,0.0,0.0,1.0
na,0.0,0.0,0.0,1.0,2.0
