Season,Games started,20 rebounds,10 rebounds,10 offensive rebounds,Double double,Rebounding high
1986–87,1.0,0.0,7.0,0.0,7.0,16.0
1987–88,32.0,0.0,33.0,1.0,29.0,19.0
1988–89,8.0,2.0,38.0,1.0,20.0,22.0
1989–90,43.0,1.0,35.0,2.0,22.0,20.0
1990–91,77.0,3.0,65.0,2.0,25.0,24.0
1991–92,80.0,39.0,77.0,6.0,42.0,34.0
1992–93,55.0,29.0,58.0,7.0,22.0,27.0
1993–94,51.0,27.0,74.0,7.0,7.0,32.0
1994–95,26.0,20.0,42.0,4.0,15.0,30.0
1995–96,57.0,11.0,57.0,3.0,5.0,24.0
1996–97,54.0,9.0,54.0,4.0,11.0,26.0
1997–98,66.0,16.0,66.0,8.0,5.0,29.0
1998–99,11.0,1.0,14.0,0.0,0.0,20.0
1999–2000,12.0,1.0,10.0,0.0,0.0,21.0
Regular season,573.0,159.0,630.0,45.0,210.0,34.0
Playoffs,89.0,8.0,83.0,7.0,28.0,22.0
