Player,G,Solo TK,Asst. TK,Total TK,Sack,YdL,INT,Yards,ForFum,FumRec,TD
LaRon Landry,7.0,53.0,15.0,68.0,1.0,8.0,1.0,0.0,1.0,1.0,0.0
London Fletcher,7.0,43.0,25.0,68.0,2.0,13.0,0.0,0.0,1.0,0.0,0.0
DeAngelo Hall,7.0,37.0,20.0,57.0,0.0,0.0,6.0,92.0,1.0,1.0,2.0
Rocky McIntosh,6.0,34.0,20.0,54.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0
Reed Doughty,7.0,21.0,18.0,42.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Carlos Rogers,7.0,29.0,6.0,35.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0
Brian Orakpo,7.0,17.0,6.0,23.0,7.0,35.0,0.0,0.0,2.0,0.0,0.0
Kareem Moore,5.0,12.0,11.0,23.0,0.0,0.0,1.0,5.0,0.0,2.0,0.0
Lorenzo Alexander,7.0,11.0,8.0,19.0,2.0,11.0,0.0,0.0,2.0,1.0,0.0
Andre Carter,7.0,9.0,10.0,19.0,1.0,7.0,0.0,0.0,1.0,1.0,0.0
Phillip Buchanon,7.0,15.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Carriker,7.0,8.0,7.0,15.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
Kedric Golston,7.0,7.0,6.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maake Kemoeatu,7.0,10.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vonnie Holliday,5.0,3.0,8.0,11.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
Mike Sellers,7.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Wilson,7.0,6.0,3.0,9.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Chris Horton,6.0,6.0,3.0,9.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Albert Haynesworth,4.0,7.0,2.0,9.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0
H.B. Blades,7.0,2.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phillip Daniels,6.0,5.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
Byron Westbrook,6.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Anthony Armstrong,5.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roydell Williams,6.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fred Davis,6.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darrel Young,6.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeremy Jarmon,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Donovan McNabb,6.0,1.0,0.0,1.0,0.0,0.0,50.0,0.0,0.0,1.0,0.0
Santana Moss,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Artis Hicks,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Torain,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chad Simpson,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nick Sundberg,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Williams,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Perry Riley,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
