Round #,Pick #,NFL Team,Player,Position,College
2.0,33.0,St. Louis Rams,Rodger Saffold,Offensive tackle,Indiana
2.0,38.0,Cleveland Browns,T. J. Ward,Safety,Oregon
2.0,41.0,Buffalo Bills,Torrell Troup,Defensive tackle,UCF
2.0,56.0,Green Bay Packers,Mike Neal,Defensive tackle,Purdue
3.0,81.0,Houston Texans,Earl Mitchell,Defensive tackle,Arizona
3.0,82.0,Pittsburgh Steelers,Emmanuel Sanders,Wide receiver,SMU
3.0,86.0,Philadelphia Eagles (from Green Bay),Daniel Te'o-Nesheim,Defensive end,Washington
4.0,104.0,Tennessee Titans (from Seattle),Alterraun Verner,Cornerback,UCLA
4.0,110.0,San Diego Chargers (from Miami),Darrell Stuckey,Safety,Kansas
4.0,114.0,Baltimore Ravens (from Denver),Dennis Pitta,Tight end,BYU
4.0,122.0,Philadelphia Eagles (from Green Bay),Mike Kafka,Quarterback,Northwestern
4.0,125.0,Philadelphia Eagles (from Dallas),Clay Harbor,Tight end,Missouri State
4.0,130.0,Arizona Cardinals (from New Orleans Saints),O'Brien Schofield,Defensive end,Wisconsin
5.0,147.0,New York Giants,Mitch Petrus,Guard,Arkansas
5.0,148.0,Tennessee Titans,Robert Johnson,Safety,Utah
5.0,151.0,Pittsburgh Steelers,Chris Scott,Offensive tackle,Tennessee
5.0,154.0,Green Bay Packers,Andrew Quarless,Tight end,Penn State
5.0,156.0,Baltimore Ravens,David Reed,Wide receiver,Utah
5.0,161.0,Minnesota Vikings,Chris DeGeare,Offensive tackle,Wake Forest
5.0,165.0,Atlanta Falcons,Kerry Meier,Wide receiver,Kansas
5.0,166.0,Pittsburgh Steelers,Stevenson Sylvester,Linebacker,Utah
5.0,169.0,Green Bay Packers,Marshall Newhouse,Offensive tackle,TCU
6.0,175.0,Carolina Panthers (from Oakland),Greg Hardy,Defensive end,Ole Miss
6.0,182.0,San Francisco 49ers,Nate Byham,Tight end,Pittsburgh
6.0,187.0,Houston Texans,Shelley Smith,Guard,Colorado State
6.0,196.0,Dallas Cowboys,Jamar Wall,Cornerback,Texas Tech
7.0,212.0,Miami Dolphins (from Kansas City),Chris McCoy,Linebacker,Middle Tennessee
7.0,213.0,Detroit Lions (from Seattle),Willie Young,Defensive end,North Carolina State
7.0,216.0,Buffalo Bills,Kyle Calloway,Offensive tackle,Iowa
7.0,219.0,Washington Redskins (from Miami),Terrence Austin,Wide receiver,UCLA
7.0,228.0,Cincinnati Bengals,Reggie Stephens,Guard,Iowa State
7.0,240.0,Indianapolis Colts,Kavell Conner,Linebacker,Clemson
