Rank,Couple,Judges,Public,Total,Vote percentage,Result
1.0,Hayley and Daniel,11.0,11.0,22.0,21.6%,Safe
2.0,Mikey and Melanie,10.0,10.0,20.0,16.7%,Safe
3.0,Gary and Maria,8.0,8.0,16.0,12.1%,Safe
4.0,Sharron and Pavel,6.0,9.0,15.0,16.3%,Safe
5.0,Danniella and Matthew,9.0,5.0,14.0,5.0%,Safe
6.0,Kieron and Brianne,6.0,4.0,10.0,4.9%,Safe
7.0,Dr. Hilary and Alexandra,3.0,7.0,10.0,7.4%,Safe
8.0,Emily and Fred,2.0,6.0,8.0,5.1%,Safe
9.0,Heather and Matt,5.0,3.0,8.0,4.8%,Safe
10.0,Danny and Frankie,7.0,1.0,8.0,2.5%,Bottom two
