Entered [A ],Weeks in top 10,Single,Artist,Peak,Peak reached [A ],Weeks at peak
5 Cannot handle non-empty timestamp argument! 1993,7.0,""" It's Alright """,East 17,3.0,9 Cannot handle non-empty timestamp argument! 1994,1.0
9 Cannot handle non-empty timestamp argument! 1994,4.0,""" Anything """,Culture Beat,5.0,9 Cannot handle non-empty timestamp argument! 1994,2.0
6 Cannot handle non-empty timestamp argument! 1994,2.0,""" A Deeper Love """,Aretha Franklin featuring Lisa Fischer,5.0,6 Cannot handle non-empty timestamp argument! 1994,1.0
6 Cannot handle non-empty timestamp argument! 1994,1.0,""" Come In Out of the Rain """,Wendy Moten,8.0,6 Cannot handle non-empty timestamp argument! 1994,1.0
6 Cannot handle non-empty timestamp argument! 1994,1.0,""" Sweet Lullaby """,Deep Forest,10.0,6 Cannot handle non-empty timestamp argument! 1994,1.0
6 Cannot handle non-empty timestamp argument! 1994,2.0,""" Renaissance """,M People,5.0,6 Cannot handle non-empty timestamp argument! 1994,1.0
6 Cannot handle non-empty timestamp argument! 1994,1.0,""" Rocks "" / "" Funky Jam """,Primal Scream,7.0,6 Cannot handle non-empty timestamp argument! 1994,1.0
6 Cannot handle non-empty timestamp argument! 1994,1.0,""" The More You Ignore Me, The Closer I Get """,Morrissey,8.0,6 Cannot handle non-empty timestamp argument! 1994,1.0
3 Cannot handle non-empty timestamp argument! 1994,4.0,""" Everything Changes """,Take That,1.0,3 Cannot handle non-empty timestamp argument! 1994,2.0
1 Cannot handle non-empty timestamp argument! 1994,6.0,""" Inside """,Stiltskin,1.0,8 Cannot handle non-empty timestamp argument! 1994,1.0
1 Cannot handle non-empty timestamp argument! 1994,2.0,""" Light My Fire "" [F ]",Clubhouse featuring Carl,7.0,1 Cannot handle non-empty timestamp argument! 1994,1.0
5 Cannot handle non-empty timestamp argument! 1994,1.0,""" Since I Don't Have You """,Guns N Roses,10.0,5 Cannot handle non-empty timestamp argument! 1994,1.0
3 Cannot handle non-empty timestamp argument! 1994,3.0,""" Love Ain't Here Anymore """,Take That,3.0,3 Cannot handle non-empty timestamp argument! 1994,2.0
3 Cannot handle non-empty timestamp argument! 1994,2.0,""" Word Up! """,GUN,8.0,3 Cannot handle non-empty timestamp argument! 1994,1.0
4 Cannot handle non-empty timestamp argument! 1994,3.0,""" Confide in Me """,Kylie Minogue,2.0,4 Cannot handle non-empty timestamp argument! 1994,1.0
2 Cannot handle non-empty timestamp argument! 1994,2.0,""" Secret """,Madonna,5.0,2 Cannot handle non-empty timestamp argument! 1994,1.0
9 Cannot handle non-empty timestamp argument! 1994,3.0,""" Sure """,Take That,1.0,9 Cannot handle non-empty timestamp argument! 1994,2.0
