District,Incumbent,Party,Elected,Status,2010 Candidates
1.0,Jay Neal,Republican,2004,Re-elected,Jay Neal (R) unopposed
2.0,Martin Scott,Republican,2004,Re-elected,Martin Scott (R) unopposed
3.0,"Tom Weldon, Jr.",Republican,2008,Re-elected,"Tom Weldon, Jr. (R) unopposed"
4.0,Roger Williams,Republican,2001,Re-elected,Roger Williams (R) unopposed
5.0,"John Meadows, III",Republican,2004,Re-elected,"John Meadows, III (R) unopposed"
6.0,Tom Dickson,Republican,2004,Re-elected,Tom Dickson (R) 77.38% Tommy Patterson (D) 22.62%
7.0,David Ralston,Republican,2002,Re-elected,David Ralston (R) unopposed
8.0,Stephen Allison,Republican,2008,Re-elected,Stephen Allison (R) 63.95% Jack Lance (D) 36.05%
9.0,Amos Amerson,Republican,2000,Re-elected,Amos Amerson (R) unopposed
10.0,Rick Austin,Republican,2008,Re-elected,Rick Austin (R) unopposed
11.0,Barbara Reece,Democratic,1998,Re-elected,Barbara Reece (D) unopposed
12.0,Rick Jasperse,Republican,2010,Re-elected,Rick Jasperse (R) 85.94% Jerry Nally (D) 14.06%
13.0,Katie Dempsey,Republican,2006,Re-elected,Katie Dempsey (R) 64.64% Bonny Askew (D) 35.36%
14.0,Barry Loudermilk,Republican,2004,Retired; Republican hold,Christian Coomer (R) 78.54% Dan Ledford (D) 21.46%
15.0,Paul Battles,Republican,2008,Re-elected,Paul Battles (R) unopposed
16.0,Rick Crawford,Democratic,2006,Re-elected,Rick Crawford (D) unopposed
17.0,Howard Maxwell,Republican,2002,Re-elected,Howard Maxwell (R) unopposed
18.0,Mark Butler,Republican,2002,Retired; Republican hold,Kevin Cooke (R) unopposed
19.0,Daniel Stout,Republican,2010,Defeated in primary; Republican hold,Paulette Braddock (R) 65.63% Will Avery (D) 21.46%
21.0,Calvin Hill,Republican,2002,Re-elected,Calvin Hill (R) 84.87% Stephanie Webb (D) 15.13%
22.0,Sean Jerguson,Republican,2006,Re-elected,Sean Jerguson (R) 79.70% Bill Brown (D) 20.30%
23.0,Mark Hamilton,Republican,2006,Re-elected,Mark Hamilton (R) unopposed
24.0,Tom Knox,Republican,2000,Retired; Republican hold,Mike Dudgeon (R) unopposed
25.0,James Mills,Republican,1992,Re-elected,James Mills (R) 84.06% Mike Parker (D) 15.94%
