No. in series,No. in season,Title,Directed by,Written by,Original air date,U.S. viewers (millions)
46.0,1.0,"""Doubt""",Gloria Muzio,Chris Mundy,"September26,2007",12.66
47.0,2.0,"""In Name and Blood (In Birth and Death)""",Edward Allen Bernero,Chris Mundy,"October3,2007",14.56
48.0,3.0,"""Scared to Death""",Félix Alcalá,Erica Messer & Debra J. Fisher,"October10,2007",14.55
49.0,4.0,"""Children of the Dark""",Guy Norman Bee,Jay Beattie & Dan Dworkin,"October17,2007",15.03
50.0,5.0,"""Seven Seconds""",John Gallagher,Andi Bushell,"October24,2007",15.05
51.0,6.0,"""About Face""",Skipp Sudduth,Charles Murray,"October31,2007",14.94
52.0,7.0,"""Identity""",Gwyneth Horder-Payton,Oanh Ly,"November7,2007",14.65
53.0,8.0,"""Lucky (Part I)""",Steve Boyum,Andrew Wilder,"November14,2007",15.73
54.0,9.0,"""Penelope (Part II)""",Félix Alcalá,Chris Mundy,"November21,2007",15.88
55.0,10.0,"""True Night""",Edward Allen Bernero,Edward Allen Bernero,"November28,2007",16.23
56.0,11.0,"""Birthright""",John Gallagher,Erica Messer & Debra J. Fisher,"December12,2007",14.18
57.0,12.0,"""3rd Life""",Anthony Hemingway,Simon Mirren,"January9,2008",14.30
58.0,13.0,"""Limelight""",Glenn Kershaw,Jay Beattie & Dan Dworkin,"January23,2008",12.67
59.0,14.0,"""Damaged""",Edward Allen Bernero,Edward Allen Bernero,"April2,2008",12.81
60.0,15.0,"""A Higher Power""",Félix Alcalá,Michael Udesky,"April9,2008",13.33
61.0,16.0,"""Elephant's Memory""",Bobby Roth,Andrew Wilder,"April16,2008",12.98
62.0,17.0,"""In Heat""",John Gallagher,Andi Bushell,"April30,2008",13.03
63.0,18.0,"""The Crossing""",Guy Norman Bee,Erica Messer & Debra J. Fisher,"May7,2008",12.88
64.0,19.0,"""Tabula Rasa""",Steve Boyum,Jay Beattie & Don Dworkin,"May14,2008",12.88
