Rk,Team,Home Gms.,Home Att.,Avg. Home,Away Gms.,Away Att.,Avg. Away,Neut. Gms.,Neut. Att.,Avg. Neut.,Total Gms.,Total Att.,Avg.
1.0,Syracuse,19.0,423924.0,22312.0,9.0,145534.0,16170.0,3.0,"30,935","10,312",31.0,600393.0,"19,368"
2.0,Louisville,21.0,458463.0,21832.0,10.0,100117.0,10012.0,0.0,0,0,31.0,558580.0,"18,019"
3.0,Marquette,18.0,280545.0,15586.0,11.0,116060.0,10551.0,2.0,n/a,n/a,31.0,396605.0,"13,676*"
4.0,West Virginia,14.0,160567.0,11469.0,11.0,146510.0,13319.0,5.0,"50,467","10,093",30.0,357544.0,"11,918"
5.0,Georgetown,14.0,177448.0,12675.0,12.0,150068.0,12506.0,4.0,"23,403","5,851",30.0,350919.0,"11,697"
6.0,Pittsburgh,18.0,195182.0,10843.0,9.0,103829.0,11537.0,4.0,"51,959","12,990",31.0,350970.0,"11,322"
7.0,Connecticut,17.0,196671.0,11569.0,10.0,132723.0,13272.0,3.0,"7,200","2,400",30.0,336594.0,"11,220"
8.0,Villanova,17.0,178692.0,10511.0,12.0,117343.0,9779.0,2.0,"13,974","6,987",31.0,310009.0,"10,000"
9.0,Seton Hall,15.0,119060.0,7937.0,11.0,123899.0,11264.0,4.0,"3,365","3,365**",31.0,246324.0,"9,123**"
10.0,St. John's,15.0,126466.0,8431.0,12.0,121573.0,10131.0,3.0,"15,270","5,090",30.0,263309.0,"8,777"
11.0,Notre Dame,17.0,132350.0,7785.0,9.0,111886.0,12432.0,4.0,"9,333","3,111†",30.0,253569.0,"8,743†"
12.0,DePaul,17.0,130486.0,7676.0,10.0,116571.0,11657.0,3.0,"4,995","2,498‡",30.0,252052.0,"8,691‡"
13.0,Cincinnati,18.0,132194.0,7344.0,12.0,122472.0,10206.0,1.0,"6,016","6,016",31.0,260682.0,"8,409"
14.0,Providence,19.0,133815.0,7043.0,10.0,122776.0,12278.0,2.0,745,372,31.0,257336.0,"8,301"
15.0,Rutgers,16.0,89636.0,5602.0,11.0,100118.0,9102.0,3.0,"29,786","9,929",30.0,219540.0,"7,318"
16.0,South Florida,16.0,67674.0,4230.0,13.0,88381.0,6799.0,2.0,"1,100","1,100§",31.0,157155.0,"5,239§"
