#,Title,Timeslot,Air date,Viewers (000s),Weekly Rank Sky1,Weekly Rank Virgin Media
85.0,"""Harbingers in the Fountain""",Thursday 9:00 pm,"October 8, 2009",954.0,4.0,10.0
86.0,"""The Bond in the Boot""",Thursday 9:00 pm,"October 15, 2009",886.0,2.0,6.0
87.0,"""The Plain in the Prodigy""",Thursday 9:00 pm,"October 22, 2009",1050.0,1.0,6.0
88.0,"""The Beautiful Day in the Neighborhood""",Thursday 9:00 pm,"October 29, 2009",935.0,2.0,10.0
89.0,"""A Night at the Bones Museum""",Thursday 9:00 pm,"November 5, 2009",1062.0,1.0,6.0
90.0,"""The Tough Man in the Tender Chicken""",Thursday 9:00 pm,"November 12, 2009",918.0,2.0,10.0
91.0,"""The Dwarf in the Dirt""",Thursday 9:00 pm,"November 19, 2009",925.0,1.0,16.0
92.0,"""The Foot in the Foreclosure""",Thursday 9:00 pm,"November 26, 2009",894.0,1.0,11.0
93.0,"""The Gamer in the Grease""",Thursday 9:00 pm,"December 10, 2009",907.0,1.0,7.0
94.0,"""The Goop on the Girl""",Thursday 9:00 pm,"December 17, 2009",853.0,2.0,7.0
95.0,"""The X in the File""",Thursday 10:00 pm,"March 11, 2010",801.0,4.0,16.0
96.0,"""The Proof in the Pudding""",Thursday 10:00 pm,"March 18, 2010",811.0,3.0,19.0
97.0,"""The Dentist in the Ditch""",Thursday 10:00 pm,"March 25, 2010",760.0,3.0,21.0
98.0,"""The Devil in the Details""",Thursday 10:00 pm,"April 1, 2010",899.0,3.0,15.0
99.0,"""The Bones on the Blue Line""",Thursday 10:00 pm,"April 8, 2010",904.0,3.0,13.0
100.0,"""The Parts in the Sum of the Whole""",Thursday 10:00 pm,"April 15, 2010",895.0,3.0,13.0
101.0,"""The Death of the Queen Bee""",Thursday 10:00 pm,"April 22, 2010",955.0,3.0,13.0
102.0,"""The Predator in the Pool""",Thursday 10:00 pm,"April 29, 2010",763.0,2.0,20.0
103.0,"""The Rocker in the Rinse Cycle""",Thursday 10:00 pm,"May 6, 2010",773.0,6.0,25.0
104.0,"""The Witch in the Wardrobe""",Thursday 10:00 pm,"May 13, 2010",923.0,3.0,13.0
105.0,"""The Boy with the Answer""",Thursday 10:00 pm,"May 20, 2010",810.0,6.0,17.0
