Model,Speed (GHz),L3 Cache (MB),QPI speed (GT/s),DDR3 Clock (MHz),TDP (W),Cores,Threads,Turbo-Boost
E5502,1.87,4.0,4.8,800.0,80.0,2.0,2.0,No
E5503,2.00,4.0,4.8,800.0,80.0,2.0,2.0,No
E5504,2.00,4.0,4.8,800.0,80.0,4.0,4.0,No
E5506,2.13,4.0,4.8,800.0,80.0,4.0,4.0,No
L5506,2.13,4.0,4.8,800.0,60.0,4.0,4.0,No
E5507,2.26,4.0,4.8,800.0,80.0,4.0,4.0,No
L5518,2.13,8.0,5.86,1066.0,60.0,4.0,8.0,Yes
E5520,2.26,8.0,5.86,1066.0,80.0,4.0,8.0,Yes
L5520,2.26,8.0,5.86,1066.0,60.0,4.0,8.0,Yes
E5530,2.40,8.0,5.86,1066.0,80.0,4.0,8.0,Yes
L5530,2.40,8.0,5.86,1066.0,60.0,4.0,8.0,Yes
E5540,2.53,8.0,5.86,1066.0,80.0,4.0,8.0,Yes
X5550,2.66,8.0,6.4,1066.0,95.0,4.0,8.0,Yes
X5560,2.80,8.0,6.4,1066.0,95.0,4.0,8.0,Yes
X5570,2.93,8.0,6.4,1066.0,95.0,4.0,8.0,Yes
W5580,3.20,8.0,6.4,1066.0,130.0,4.0,8.0,Yes
