Sd,Rk,Player,Points,Points defending,Points won,New points,Status
2.0,2.0,Rafael Nadal,9595.0,360.0,1200.0,10435.0,"Runner-up, Final lost to Novak Djokovic [1]"
3.0,3.0,Roger Federer,8010.0,720.0,720.0,8010.0,Semifinals lost to Rafael Nadal [2]
4.0,4.0,Andy Murray,7380.0,1200.0,720.0,6900.0,Semifinals lost to Novak Djokovic [1]
5.0,5.0,David Ferrer,4925.0,720.0,360.0,4565.0,Quarterfinals lost to Novak Djokovic [1]
6.0,6.0,Jo-Wilfried Tsonga,4335.0,90.0,180.0,4425.0,Fourth round lost to Kei Nishikori [24]
7.0,7.0,Tomáš Berdych,3700.0,360.0,360.0,3700.0,Quarterfinals lost to Rafael Nadal [2]
8.0,8.0,Mardy Fish,2965.0,45.0,45.0,2965.0,Second round lost to Alejandro Falla
9.0,9.0,Janko Tipsarević,2655.0,45.0,90.0,2700.0,Third round lost to Richard Gasquet [17]
10.0,10.0,Nicolás Almagro,2380.0,180.0,180.0,2380.0,Fourth round lost to Tomáš Berdych [7]
11.0,11.0,Juan Martín del Potro,2315.0,45.0,360.0,2630.0,Quarterfinals lost to Roger Federer [3]
12.0,12.0,Gilles Simon,2005.0,45.0,45.0,2005.0,Second round lost to Julien Benneteau
13.0,14.0,Alexandr Dolgopolov,2030.0,360.0,90.0,1760.0,Third round lost to Bernard Tomic
14.0,15.0,Gaël Monfils,1970.0,90.0,90.0,1970.0,Third round lost to Mikhail Kukushkin
15.0,16.0,Andy Roddick,1880.0,180.0,45.0,1745.0,Second round retired against Lleyton Hewitt [WC]
16.0,17.0,John Isner,1800.0,90.0,90.0,1800.0,Third round lost to Feliciano López [18]
17.0,18.0,Richard Gasquet,1765.0,90.0,180.0,1855.0,Fourth round lost to David Ferrer [5]
18.0,19.0,Feliciano López,1755.0,45.0,180.0,1890.0,Fourth round lost to Rafael Nadal [2]
19.0,21.0,Viktor Troicki,1595.0,90.0,45.0,1550.0,Second round lost to Mikhail Kukushkin
20.0,22.0,Florian Mayer,1630.0,45.0,0.0,1585.0,withdrew due to hip strain
21.0,23.0,Stanislas Wawrinka,1615.0,360.0,90.0,1345.0,Third round lost to Nicolás Almagro [10]
22.0,24.0,Fernando Verdasco,1550.0,180.0,10.0,1380.0,First round lost to Bernard Tomic
23.0,25.0,Milos Raonic,1460.0,205.0,90.0,1345.0,Third round lost to Lleyton Hewitt [WC]
24.0,26.0,Kei Nishikori,1410.0,90.0,360.0,1680.0,Quarterfinals lost to Andy Murray [4]
25.0,27.0,Juan Mónaco,1335.0,45.0,10.0,1300.0,First round lost to Philipp Kohlschreiber
26.0,28.0,Marcel Granollers,1315.0,10.0,45.0,1350.0,Second round lost to Frederico Gil
27.0,29.0,Juan Ignacio Chela,1270.0,10.0,90.0,1350.0,Third round lost to David Ferrer [5]
28.0,30.0,Ivan Ljubičić,1270.0,90.0,10.0,1190.0,First round lost to Lukáš Lacko [Q]
29.0,31.0,Radek Štěpánek,1230.0,45.0,10.0,1195.0,First round lost to Nicolas Mahut
30.0,32.0,Kevin Anderson,1190.0,10.0,90.0,1270.0,Third round lost to Tomáš Berdych [7]
31.0,33.0,Jürgen Melzer,1170.0,180.0,10.0,1000.0,First round lost to Ivo Karlović
