Position,Driver,Points,Winnings,Series
1.0,Mark Martin,86.0,"$225,000",NASCAR Winston Cup
2.0,Jeff Burton,57.0,"$100,000",NASCAR Winston Cup
3.0,Jeff Gordon,51.0,"$60,000",NASCAR Winston Cup
4.0,"Al Unser, Jr.",46.0,"$50,000",FedEx CART World Series
5.0,Terry Labonte,39.0,"$45,000",NASCAR Winston Cup
6.0,Tony Stewart,37.0,"$40,000",Indy Racing League
7.0,Dale Earnhardt,36.0,"$40,000",NASCAR Winston Cup
8.0,Jimmy Vasser,34.0,"$40,000",FedEx CART World Series
9.0,Randy LaJoie,31.0,"$40,000",NASCAR Busch Series
10.0,Dale Jarrett,29.0,"$40,000",NASCAR Winston Cup
11.0,Tommy Kendall,28.0,"$40,000",SCCA Trans-Am Series
