Code,District,Headquarters,Population (2001 Census),Population (2011 Census),Area (km²),Density in 2011 (/km²)
AN,Anugul,Anugul,1140003.0,1273821.0,6375.0,199.8
BD,Boudh (Baudh),Boudh,373372.0,441162.0,3098.0,142.4
BH,Bhadrak,Bhadrak,1335749.0,1506337.0,2505.0,601.3
BL,Balangir,Balangir,1337194.0,1648997.0,6575.0,250.8
BR,Bargarh (Baragarh),Bargarh,1346336.0,1481255.0,5837.0,253.8
BW,Balasore (Baleswar),Baleswar,2024508.0,2320529.0,3806.0,609.7
CU,Cuttack,Cuttack,2341094.0,2624470.0,3932.0,667.5
DE,Debagarh (Deogarh),Debagarh,274108.0,312520.0,2940.0,106.3
DH,Dhenkanal,Dhenkanal,1066878.0,1192811.0,4452.0,267.9
GN,Ganjam,Chhatrapur,3130635.0,3529031.0,8206.0,430.1
GP,Gajapati,Paralakhemundi,518837.0,577817.0,4325.0,133.6
JH,Jharsuguda,Jharsuguda,509716.0,579505.0,2114.0,274.1
JP,Jajapur (Jajpur),Jajpur,1624341.0,1827192.0,2899.0,595.8
JS,Jagatsinghapur,Jagatsinghapur,1057629.0,1136971.0,1668.0,681.6
KH,Khordha,Bhubaneswar,1877395.0,2251673.0,2813.0,800.5
KJ,Kendujhar (Keonjhar),Kendujhar,1561990.0,1801733.0,8303.0,217.0
KL,Kalahandi,Bhawanipatna,1335494.0,1576869.0,7920.0,199.1
KN,Kandhamal,Phulbani,648201.0,733110.0,8021.0,91.4
KO,Koraput,Koraput,1180637.0,1379647.0,8807.0,156.7
KP,Kendrapara,Kendrapara,1302005.0,1440361.0,2644.0,544.8
ML,Malkangiri,Malkangiri,504198.0,613192.0,5791.0,105.9
MY,Mayurbhanj,Baripada,2223456.0,2519738.0,10418.0,241.9
NB,Nabarangpur,Nabarangapur,1025766.0,1220946.0,5291.0,230.8
NU,Nuapada,Nuapada,530690.0,610382.0,3852.0,158.5
NY,Nayagarh,Nayagarh,864516.0,962789.0,3890.0,247.5
PU,Puri,Puri,1502682.0,1698730.0,3479.0,488.3
RA,Rayagada,Rayagada,831109.0,967911.0,7073.0,136.8
SA,Sambalpur,Sambalpur,935613.0,1041099.0,6624.0,157.2
SO,Subarnapur (Sonepur),Subarnapur,541835.0,610183.0,2337.0,261.1
SU,Sundargarh (Sundargarh),Sundargarh,1830673.0,2093437.0,9712.0,215.6
