Institution,Location,Founded,Affiliation,Enrollment,Team Nickname,Primary conference
University of Alabama,"Tuscaloosa, Alabama",1831.0,Public,28807.0,Crimson Tide,SEC ( Division I )
Auburn University,"Auburn, Alabama",1856.0,Public,24137.0,Tigers,SEC ( Division I )
University of Central Florida,"Orlando, Florida",1963.0,Public,53644.0,Knights,C-USA ( Division I )
Clemson University,"Clemson, South Carolina",1849.0,Public,18317.0,Tigers,ACC ( Division I )
East Carolina University,"Greenville, North Carolina",1907.0,Public,27677.0,Pirates,C-USA ( Division I )
University of Florida,"Gainesville, Florida",1853.0,Public,50691.0,Gators,SEC ( Division I )
Florida State University,"Tallahassee, Florida",1851.0,Public,40255.0,Seminoles,ACC ( Division I )
University of Georgia,"Athens, Georgia",1785.0,Public,34885.0,Bulldogs,SEC ( Division I )
Georgia Institute of Technology,"Atlanta, Georgia",1885.0,Public,20291.0,Yellow Jackets,ACC ( Division I )
University of Kentucky,"Lexington, Kentucky",1865.0,Public,27209.0,Wildcats,SEC ( Division I )
University of Miami,"Coral Gables, Florida",1925.0,Private / Non-sectarian,15629.0,Hurricanes,ACC ( Division I )
University of Mississippi,"Oxford, Mississippi",1848.0,Public,18344.0,Rebels,SEC ( Division I )
North Carolina State University,"Raleigh, North Carolina",1887.0,Public,23730.0,Wolfpack,ACC ( Division I )
University of South Carolina,"Columbia, South Carolina",1801.0,Public,28481.0,Gamecocks,SEC ( Division I )
University of South Florida,"Tampa, Florida",1801.0,Public,47122.0,Bulls,Big East ( Division I )
University of Tennessee,"Knoxville, Tennessee",1794.0,Public,27107.0,Volunteers,SEC ( Division I )
Vanderbilt University,"Nashville, Tennessee",1873.0,Private/Non-sectarian,12514.0,Commodores,SEC ( Division I )
Wake Forest University,"Winston-Salem, North Carolina",1834.0,Private/Non-sectarian,6862.0,Demon Deacons,ACC ( Division I )
