Townland,s Acre,Barony,Civil parish,Poor law union
Abbeyland,144.0,Kilkea and Moone,Castledermot,Athy
Abbeyland,68.0,Clane,Clane,Naas
Aghafullim,142.0,Ikeathy and Oughterany,Clonshanbo,Celbridge
Aghanure,257.0,Narragh and Reban West,Kilberry,Athy
Aghards,67.0,North Salt,Kildrought,Celbridge
Aghpaudeen,7.0,Clane,Killybegs,Naas
Alasty,398.0,South Salt,Kill,Naas
Allenswood,75.0,North Salt,Confey,Celbridge
Allenwood Middle,312.0,Connell,Kilmeage,Naas
Allenwood North,1945.0,Connell,Kilmeage,Naas
Allenwood South,1243.0,Connell,Kilmeage,Naas
Alliganstown,493.0,Naas South,Ballybought,Naas
Annalough,115.0,Narragh and Reban East,Narraghmore,Athy
Ardclogh,150.0,South Salt,Lyons,Celbridge
Ardellis Lower,163.0,Offaly West,Fontstown,Athy
Ardellis Upper,284.0,Offaly West,Fontstown,Athy
Ardinode,304.0,Naas South,Ballymore Eustace,Naas
Ardinode,208.0,Naas South,Jago,Naas
Ardkill,628.0,Carbury,Ardkill,Edenderry
Ardmore,241.0,Narragh and Reban West,Kilberry,Athy
Ardnagross,128.0,Narragh and Reban West,Narraghmore,Athy
Ardrass Loweer,235.0,North Salt,Killadoon,Celbridge
Ardrass Upper,312.0,North Salt,Killadoon,Celbridge
Ardree,323.0,Kilkea and Moone,Ardree,Athy
Ardree,476.0,Kilkea and Moone,Tankardstown,Athy
Ardrew,81.0,Narragh and Reban West,St. John's,Athy
Ardscull,1188.0,Narragh and Reban East,Moone,Athy
Arthurstown,167.0,South Salt,Kill,Naas
Ashgrove,75.0,Offaly West,Ballybrackan,Athy
Athgarrett,742.0,Naas North,Rathmore,Naas
Athgarvan and Blackrath,617.0,Connell,Greatconnell,Naas
Athy,52.0,Narragh and Reban West,St. John's,Athy
Athy,162.0,Narragh and Reban West,St. Michaels,Athy
Aughrim,756.0,Offaly West,Lackagh,Athy
Aylemerstown,250.0,Kilkea and Moone,Killelan,Baltinglass
Backwestonpark,87.0,South Salt,Donaghcumper,Celbridge
Balkinstown,302.0,Offaly West,Nurney,Athy
Ballaghmoon,296.0,Kilkea and Moone,Ballaghmoon,Athy
Ballaghmoon Castle,266.0,Kilkea and Moone,Ballaghmoon,Athy
Ballina,839.0,Carbury,Cadamstown,Edenderry
Ballinderry,593.0,Carbury,Mylerstown,Edenderry
Ballindoolin,856.0,Carbury,Carrick,Edenderry
Ballindrum,662.0,Kilkea and Moone,Narraghmore,Athy
Ballinlig,395.0,Carbury,Kilrainy,Edenderry
Ballintaggart,280.0,Narragh and Reban East,Davidstown,Athy
Ballintine,309.0,Connell,Kilmeage,Naas
Ballinure,218.0,Offaly East,Rathangan,Edenderry
Ballitore,637.0,Narragh and Reban East,Timolin,Baltinglass
Ballyadams,93.0,Narragh and Reban East,Narraghmore,Athy
Ballybarney,394.0,Narragh and Reban East,Davidstown,Athy
Ballybought,48.0,Narragh and Reban West,St. John's,Athy
Ballybought,517.0,Naas South,Ballybought,Naas
Ballybrack,292.0,Ikeathy and Oughterany,Clonshanbo,Celbridge
Ballybrack,308.0,Carbury,Kilpatrick,Edenderry
Ballyburn Lower,367.0,Kilkea and Moone,Killelan,Athy
Ballyburn Upper,252.0,Kilkea and Moone,Killelan,Athy
Ballycaghan,385.0,Ikeathy and Oughterany,Cloncurry,Celbridge
Ballycanon,589.0,Ikeathy and Oughterany,Cloncurry,Celbridge
Ballycommon,33.0,South Salt,Clonaghlis,Celbridge
Ballycowan,173.0,Carbury,Nurney,Edenderry
Ballycullane,440.0,Narragh and Reban East,Tankardstown,Athy
Ballycullane Lower,237.0,Kilkea and Moone,Kineagh,Baltinglass
Ballycullane Upper,290.0,Kilkea and Moone,Kineagh,Baltinglass
Ballycurraghan,77.0,North Salt,Laraghbryan,Celbridge
Ballydallagh,41.0,Naas South,Ballymore Eustace,Naas
Ballyfair,140.0,Offaly East,Ballysax,Naas
Ballyfarson,177.0,Offaly West,Monasterevin,Athy
Ballygaddy,116.0,Offaly East,Rathangan,Edenderry
Ballygibbon East,568.0,Carbury,Carrick,Edenderry
Ballygibbon West,758.0,Carbury,Carrick,Edenderry
Ballygoran,353.0,North Salt,Laraghbryan,Celbridge
Ballygreany,441.0,Offaly West,Duneany,Athy
Ballyhade,287.0,Kilkea and Moone,Castledermot,Carlow
Ballyhagan,1115.0,Carbury,Carbury,Edenderry
Ballyhays,136.0,Naas North,Whitechurch,Naas
Ballykeelan,136.0,Ikeathy and Oughterany,Cloncurry,Celbridge
Ballykelly,391.0,Offaly West,Lackagh,Athy
Ballyloughan,119.0,Ikeathy and Oughterany,Clonshanbo,Celbridge
Ballymadeer,147.0,South Salt,Stacumny,Celbridge
Ballymakealy Lower,113.0,North Salt,Killadoon,Celbridge
Ballymakealy Upper,149.0,North Salt,Killadoon,Celbridge
Ballymany,506.0,Offaly East,Ballymany,Naas
Ballymore Eustace East,919.0,Naas South,Ballymore Eustace,Naas
Ballymore Eustace West,381.0,Naas South,Ballymore Eustace,Naas
