No. in series,No. in season,Title,Directed by,Written by,Original air date,Viewers *
14.0,1.0,"""Something Wicked This Fae Comes""",Robert Lieberman,Michelle Lovretta,"September4,2011","420,000"
15.0,2.0,"""I Fought the Fae (and the Fae Won)""",Steve DiMarco,Michelle Lovretta,"September11,2011","358,000"
16.0,3.0,"""Scream a Little Dream""",George Mihalka,Jeremy Boxen,"September18,2011","332,000"
17.0,4.0,"""Mirror, Mirror""",Steve DiMarco,Emily Andras,"September25,2011",N/A
18.0,5.0,"""BrotherFae of the Wolves""",Clark Johnson,Alexandra Zarowny,"October2,2011","345,000"
19.0,6.0,"""It's Better to Burn Out Than Fae Away""",Gail Harvey,Steve Cochran,"October30,2011","265,000"
20.0,7.0,"""Fae Gone Wild""",Lynne Stopkewich,Alexandra Zarowny,"November6,2011","236,000"
21.0,8.0,"""Death Didn't Become Him""",Steve DiMarco,Steve Cochrane,"November13,2011",N/A
22.0,9.0,"""Original Skin""",Paul Fox,Emily Andras,"November20,2011","285,000"
23.0,10.0,"""Raging Fae""",David Greene,Jeremy Boxen,"November27,2011","223,000"
24.0,11.0,"""Can't See the Fae-Rest""",Gail Harvey,Shelley Scarrow,"December4,2011","377,000"
25.0,12.0,"""Masks""",Lee Rose,Grant Rosenberg,"December11,2011",N/A
26.0,13.0,"""Barometz. Trick. Pressure.""",Paolo Barzman,Steve Cochrane,"December18,2011","308,000"
27.0,14.0,"""Midnight Lamp""",David Winning,Jeremy Boxen,"January22,2012","330,000"
28.0,15.0,"""Table for Fae""",David Greene,Duana Taha,"January29,2012","264,000"
29.0,16.0,"""School's Out""",James Dunnison,Jay Firestone & Harris Goldberg,"February12,2012",N/A
30.0,17.0,"""The Girl Who Fae'd With Fire""",Brett Sullivan,Emily Andras,"February19,2012","232,000"
31.0,18.0,"""Fae-nted Love""",Michael DeCarlo,Shelley Scarrow,"March4,2012",N/A
32.0,19.0,"""Truth and Consequences""",Lee Rose,Grant Rosenberg,"March11,2012",N/A
33.0,20.0,"""Lachlan's Gambit""",Steve DiMarco,Steve Cochrane,"March18,2012",N/A
34.0,21.0,"""Into the Dark""",John Fawcett,Emily Andras,"March25,2012",N/A
