Country,MotoGP/500cc,350cc,Moto2/250cc,Moto3/125cc,80cc/50cc,Total
Italy,20.0,8.0,22.0,23.0,2.0,75.0
United Kingdom,17.0,13.0,9.0,4.0,1.0,44.0
Spain,3.0,0.0,9.0,15.0,12.0,39.0
Germany,0.0,2.0,8.0,4.0,4.0,18.0
United States,15.0,0.0,2.0,0.0,0.0,17.0
Australia,8.0,1.0,1.0,1.0,0.0,11.0
Rhodesia,1.0,5.0,2.0,0.0,0.0,8.0
Japan,0.0,1.0,3.0,4.0,0.0,8.0
Switzerland,0.0,0.0,0.0,4.0,4.0,8.0
South Africa,0.0,3.0,2.0,0.0,0.0,5.0
France,0.0,0.0,3.0,2.0,0.0,5.0
New Zealand,0.0,0.0,0.0,2.0,2.0,4.0
Venezuela,0.0,1.0,2.0,0.0,0.0,3.0
Netherlands,0.0,0.0,0.0,0.0,3.0,3.0
San Marino,0.0,0.0,1.0,1.0,0.0,2.0
Sweden,0.0,0.0,0.0,2.0,0.0,2.0
Finland,0.0,0.0,1.0,0.0,0.0,1.0
Austria,0.0,0.0,0.0,1.0,0.0,1.0
