Institution,Location - City,Location - State,Nickname,Founded,Affiliation,Enrollment,Primary Conference
Ball State University,Muncie,Indiana,Cardinals,1918.0,Public,21401.0,MAC
Central Michigan University,Mount Pleasant,Michigan,Chippewas,1892.0,Public,28398.0,MAC
University of Cincinnati,Cincinnati,Ohio,Bearcats,1819.0,Public,41250.0,Big East
DePaul University,Chicago,Illinois,Blue Demons,1898.0,Private,24000.0,Big East
Eastern Michigan University,Ypsilanti,Michigan,Eagles,1849.0,Public,22974.0,MAC
Grand Valley State University,Allendale,Michigan,Lakers,1960.0,Public,24541.0,GLIAC
Miami University,Oxford,Ohio,RedHawks,1809.0,Public,20126.0,MAC
University of Michigan,Ann Arbor,Michigan,Wolverines,1817.0,Public,41674.0,Big Ten
Michigan State University,East Lansing,Michigan,Spartans,1855.0,Public,47278.0,Big Ten
Michigan Technological University,Houghton,Michigan,Huskies,1885.0,Public,6720.0,GLIAC
Northern Illinois University,DeKalb,Illinois,Huskies,1895.0,Public,25313.0,MAC
Ohio State University,Columbus,Ohio,Buckeyes,1870.0,Public,55014.0,Big Ten
Purdue University,West Lafayette,Indiana,Boilermakers,1869.0,Public,39697.0,Big Ten
Schoolcraft College,Livonia,Michigan,Oscelots,1961.0,Public,9000.0,MCCAA
Shawnee State University,Portsmouth,Ohio,Bears,1986.0,Public,4600.0,MSC
Tiffin University,Tiffin,Ohio,Dragons,1888.0,Public,4942.0,GLIAC
Wayne State University,Detroit,Michigan,Warriors,1868.0,Public,31786.0,GLIAC
