Player,Starts,Cuts made,Best finish,Money list rank,Earnings ($)
George McNeill,30.0,18.0,Win,61,1504627.0
Robert Garrigus,28.0,18.0,T3,74,1260010.0
Rich Barcelo,26.0,13.0,T4,170,334244.0
Anders Hansen,17.0,10.0,T11,153,461216.0
Cameron Beckman,29.0,19.0,T3,112,902258.0
John Merrick,29.0,16.0,T4,135,649438.0
Steve Wheatcroft,25.0,10.0,T18,206,153246.0
Steve Marino,31.0,21.0,T6,80,1179165.0
Paul Stankowski,18.0,7.0,T12,178,282389.0
Tom Johnson,27.0,11.0,T18,196,190926.0
Bob Heintz,27.0,15.0,T5 (twice),136,649342.0
Paul Gow,26.0,10.0,T10,184,264149.0
Ryan Armour,32.0,21.0,4,121,862979.0
John Mallinger,29.0,18.0,3/T3 (three times),51,1681764.0
Anthony Kim,26.0,20.0,T3,60,1545195.0
Chris Stroud,24.0,9.0,T5,133,673106.0
Craig Lile,24.0,15.0,T22,186,255659.0
Parker McLachlin,27.0,13.0,T5,137,627582.0
Glen Day,27.0,16.0,T15,163,397491.0
Charlie Wi,27.0,18.0,T2,84,1145975.0
Darron Stiles,24.0,8.0,T22,192,215379.0
Alex Čejka,25.0,17.0,T6,120,868303.0
Scott Gutschewski,22.0,11.0,T22,187,252179.0
Marco Dawson,23.0,13.0,T5,145,521432.0
Brendon de Jonge,26.0,12.0,T6,155,447172.0
Chris Tidland,21.0,8.0,T6,169,339482.0
Michael Boyd,21.0,9.0,T27,208,126839.0
Michael Allen,22.0,15.0,2,95,1016952.0
Mark Wilson,25.0,18.0,Win,56,1637112.0
Bob May,16.0,9.0,T5,189,244970.0
Jonathan Kaye,0.0,0.0,n/a,n/a,0.0
Stephen Allan,18.0,13.0,T7,141,568059.0
Jason Schultz,22.0,9.0,T28,203,163244.0
D. J. Brigman,22.0,11.0,T20,183,268205.0
Kyle Reifers,27.0,9.0,T12,181,276369.0
Brian Bateman,18.0,9.0,Win,94,1022763.0
Matt Hendrix,24.0,7.0,T31,213,108269.0
Dicky Pride,25.0,10.0,4,159,415792.0
Michael Bradley,8.0,3.0,T46,237,31889.0
