Locale,Skip,W,L,PF,PA,Ends Won,Ends Lost,Blank Ends,Stolen Ends,Shot Pct.
Manitoba,Jennifer Jones,11.0,0.0,95.0,45.0,53.0,35.0,9.0,20.0,85%
Ontario,Rachel Homan,10.0,1.0,87.0,48.0,50.0,33.0,16.0,14.0,82%
British Columbia,Kelly Scott,8.0,3.0,89.0,69.0,53.0,47.0,3.0,10.0,79%
Canada,Heather Nedohin,7.0,4.0,79.0,61.0,46.0,46.0,11.0,9.0,81%
Saskatchewan,Jill Shumay,6.0,5.0,71.0,74.0,45.0,44.0,7.0,14.0,73%
New Brunswick,Andrea Crawford,6.0,5.0,82.0,82.0,46.0,49.0,8.0,11.0,76%
Nova Scotia,Mary-Anne Arsenault,5.0,6.0,68.0,76.0,52.0,44.0,9.0,18.0,79%
Prince Edward Island,Suzanne Birt,5.0,6.0,79.0,83.0,48.0,47.0,6.0,11.0,73%
Quebec,Allison Ross,3.0,8.0,60.0,89.0,43.0,46.0,13.0,11.0,75%
Northwest Territories / Yukon,Kerry Galusha,2.0,9.0,58.0,92.0,40.0,54.0,9.0,10.0,67%
Newfoundland and Labrador,Stacie Devereaux,2.0,9.0,59.0,87.0,37.0,58.0,6.0,8.0,68%
