Name,Position,Country,Years,Games,Minutes,Goals,Assists,Int. caps,Int. goals
Freddy Adu Category:Articles with hCards,MF,USA,2011 – 13,2.0,38.0,0.0,0.0,17.0,2.0
Danny Califf Category:Articles with hCards,DF,USA,2010 – 12,2.0,180.0,0.0,0.0,23.0,1.0
Brian Carroll Category:Articles with hCards,MF,USA,2011 –,2.0,180.0,0.0,0.0,8.0,0.0
Gabriel Farfan Category:Articles with hCards,MF,USA,2011 –,2.0,156.0,0.0,0.0,0.0,0.0
Michael Farfan Category:Articles with hCards,MF,USA,2011 –,2.0,180.0,0.0,1.0,0.0,0.0
Sébastien Le Toux Category:Articles with hCards,FW,France,"2010 – 11 , 2013 –",2.0,180.0,1.0,0.0,0.0,0.0
Justin Mapp Category:Articles with hCards,MF,USA,2010 – 11,2.0,92.0,0.0,0.0,8.0,0.0
Jack McInerney Category:Articles with hCards,FW,USA,2010 –,2.0,118.0,0.0,0.0,0.0,0.0
Stefani Miglioranzi Category:Articles with hCards,MF,Brazil,2010 – 11,1.0,62.0,0.0,0.0,0.0,0.0
Danny Mwanga Category:Articles with hCards,FW,DR Congo,2010 – 12,2.0,156.0,0.0,0.0,0.0,0.0
Veljko Paunović Category:Articles with hCards,FW,Serbia,2011,1.0,66.0,0.0,0.0,2.0,1.0
Roger Torres Category:Articles with hCards,MF,Colombia,2010 –,2.0,46.0,0.0,0.0,0.0,0.0
Carlos Valdés Category:Articles with hCards,DF,Colombia,2011 –,2.0,180.0,0.0,0.0,9.0,2.0
